Unnamed: 0,operation,clean,answer,corrupted,corrupted_answer,answer_idx,corrupted_idx
43404,+,153+83=,236,1+94=,95,14087,2721
43405,+,153+84=,237,206+286=,492,14590,21776
43406,+,153+85=,238,141+208=,349,13895,18634
43407,+,153+86=,239,257+150=,407,14815,18501
43408,+,153+87=,240,270+209=,479,8273,21848
43409,+,153+88=,241,38+201=,239,13341,14815
43410,+,153+89=,242,210+278=,488,12754,21310
43411,+,153+90=,243,288+184=,472,14052,21757
43412,+,153+92=,245,1+60=,61,13078,5547
43413,+,153+93=,246,32+101=,133,14205,9423
43414,+,153+94=,247,256+282=,538,14125,22600
43415,+,153+95=,248,66+87=,153,14185,9800
43416,+,153+96=,249,135+246=,381,14735,19162
43417,+,153+97=,250,65+222=,287,5154,17897
43418,+,153+98=,251,263+23=,286,13860,17361
43419,+,153+99=,252,23+260=,283,12326,16085
43420,+,153+100=,253,68+166=,234,14022,11727
43421,+,153+101=,254,100+193=,293,12375,17313
43422,+,153+102=,255,295+25=,320,3192,9588
43423,+,153+103=,256,248+103=,351,4146,18113
43424,+,153+104=,257,262+265=,527,15574,22369
43425,+,153+105=,258,185+133=,318,15966,17592
43426,+,153+106=,259,165+228=,393,15537,18252
43427,+,153+107=,260,85+290=,375,11387,12935
43428,+,153+108=,261,232+286=,518,15602,21312
43429,+,153+109=,262,129+250=,379,14274,19867
43430,+,153+110=,263,58+166=,224,15666,10697
43431,+,153+111=,264,268+116=,384,12815,12910
43432,+,153+112=,265,16+111=,127,14374,6804
43433,+,153+113=,266,246+19=,265,15999,14374
43434,+,153+114=,267,279+34=,313,16567,15231
43435,+,153+115=,268,220+104=,324,16332,16723
43436,+,153+116=,269,147+87=,234,16955,11727
43437,+,153+117=,270,224+40=,264,10914,12815
43438,+,153+118=,271,26+193=,219,15828,13762
43439,+,153+119=,272,61+251=,312,15741,13384
43440,+,153+120=,273,67+1=,68,15451,2614
43441,+,153+121=,274,191+198=,389,16590,20422
43442,+,153+122=,275,175+242=,417,14417,19561
43443,+,153+123=,276,236+286=,522,16660,20936
43444,+,153+124=,277,220+288=,508,16367,19869
43445,+,153+125=,278,266+276=,542,16949,21791
43446,+,153+126=,279,247+280=,527,17267,22369
43447,+,153+127=,280,126+260=,386,11209,16481
43448,+,153+128=,281,155+39=,194,15282,6393
43449,+,153+129=,282,196+31=,227,16544,14206
43450,+,153+130=,283,236+127=,363,16085,18199
43451,+,153+131=,284,279+1=,280,17058,11209
43452,+,153+132=,285,269+155=,424,15935,18517
43453,+,153+133=,286,297+143=,440,17361,14868
43454,+,153+134=,287,133+39=,172,17897,10861
43455,+,153+135=,288,37+289=,326,15287,17470
43456,+,153+136=,289,142+265=,407,17212,18501
43457,+,153+137=,290,279+106=,385,13754,18695
43458,+,153+138=,291,87+17=,104,17335,6849
43459,+,153+139=,292,59+254=,313,16443,15231
43460,+,153+140=,293,167+117=,284,17313,17058
43461,+,153+141=,294,159+192=,351,17168,18113
43462,+,153+142=,295,63+104=,167,16780,11515
43463,+,153+143=,296,184+189=,373,17408,18017
43464,+,153+144=,297,265+100=,365,18163,12676
43465,+,153+145=,298,171+191=,362,17690,18509
43466,+,153+146=,299,117+77=,194,15531,6393
43467,+,153+147=,300,131+56=,187,3101,9674
43468,+,153+148=,301,239+17=,256,12405,4146
43469,+,153+149=,302,44+107=,151,13121,9690
43470,+,153+150=,303,163+112=,275,13236,14417
43471,+,153+151=,304,191+19=,210,12166,8848
43472,+,153+152=,305,123+200=,323,13364,15726
43473,+,153+153=,306,145+53=,198,12879,3753
43474,+,153+154=,307,220+42=,262,14777,14274
43475,+,153+155=,308,3+5=,8,14498,23
43476,+,153+156=,309,124+127=,251,15500,13860
43477,+,153+157=,310,1+299=,300,12226,3101
43478,+,153+158=,311,231+225=,456,15134,10961
43479,+,153+159=,312,55+163=,218,13384,13302
43480,+,153+160=,313,69+11=,80,15231,1490
43481,+,153+161=,314,177+295=,472,16104,21757
43482,+,153+162=,315,1+18=,19,15189,777
43483,+,153+163=,316,189+154=,343,15340,16522
43484,+,153+164=,317,69+24=,93,16718,6365
43485,+,153+165=,318,144+242=,386,17592,16481
43486,+,153+166=,319,292+15=,307,16874,14777
43487,+,153+167=,320,135+299=,434,9588,20165
43488,+,153+168=,321,82+46=,128,14423,4386
43489,+,153+169=,322,231+252=,483,15805,21884
43490,+,153+170=,323,165+73=,238,15726,13895
43491,+,153+171=,324,91+174=,265,16723,14374
43492,+,153+172=,325,113+223=,336,15257,17014
43493,+,153+173=,326,118+278=,396,17470,19615
43494,+,153+174=,327,260+243=,503,13817,17735
43495,+,153+175=,328,167+72=,239,16884,14815
43496,+,153+176=,329,20+98=,118,18196,8899
43497,+,153+177=,330,115+104=,219,10568,13762
43498,+,153+178=,331,88+222=,310,16707,12226
43499,+,153+179=,332,192+15=,207,17079,12060
43500,+,153+180=,333,242+78=,320,8765,9588
43501,+,153+181=,334,129+110=,239,17153,14815
43502,+,153+182=,335,174+52=,226,16596,14057
43503,+,153+183=,336,95+35=,130,17014,5894
43504,+,153+184=,337,276+264=,540,17609,17048
43505,+,153+185=,338,140+259=,399,18633,18572
43506,+,153+186=,339,211+249=,460,17887,16551
43507,+,153+187=,340,124+265=,389,13679,20422
43508,+,153+188=,341,146+241=,387,16546,20062
43509,+,153+189=,342,294+166=,460,17590,16551
43510,+,153+190=,343,131+151=,282,16522,16544
43511,+,153+191=,344,12+21=,33,17451,1644
43512,+,153+192=,345,238+152=,390,12901,15515
43513,+,153+193=,346,37+156=,193,18061,7285
43514,+,153+194=,347,88+243=,331,17678,16707
43515,+,153+195=,348,124+273=,397,19746,20698
43516,+,153+196=,349,71+162=,233,18634,12994
43517,+,153+197=,350,241+286=,527,8652,22369
43518,+,153+198=,351,242+271=,513,18113,21164
43519,+,153+199=,352,187+231=,418,16482,19770
43520,+,153+200=,353,147+11=,158,17228,11286
43521,+,153+201=,354,201+74=,275,18384,14417
43522,+,153+202=,355,22+108=,130,17306,5894
43523,+,153+203=,356,132+222=,354,18349,18384
43524,+,153+204=,357,191+184=,375,18520,12935
43525,+,153+205=,358,71+89=,160,17112,6330
43526,+,153+206=,359,153+98=,251,19192,13860
43527,+,153+207=,360,85+34=,119,6843,9079
43528,+,153+208=,361,173+162=,335,18277,16596
43529,+,153+209=,362,26+65=,91,18509,5925
43530,+,153+210=,363,188+238=,426,18199,20363
43531,+,153+211=,364,82+251=,333,15951,8765
43532,+,153+212=,365,46+237=,283,12676,16085
43533,+,153+213=,366,293+215=,508,18044,19869
43534,+,153+214=,367,237+231=,468,18775,20304
43535,+,153+215=,368,47+244=,291,19057,17335
43536,+,153+216=,369,189+145=,334,19929,17153
43537,+,153+217=,370,61+52=,113,14648,8190
43538,+,153+218=,371,145+139=,284,18650,17058
43539,+,153+219=,372,205+30=,235,17662,12422
43540,+,153+220=,373,128+55=,183,18017,10750
43541,+,153+221=,374,54+107=,161,18265,10718
43542,+,153+222=,375,146+246=,392,12935,19695
43543,+,153+223=,376,201+96=,297,18322,18163
43544,+,153+224=,377,196+274=,470,10898,17711
43545,+,153+225=,378,94+49=,143,19166,10290
43546,+,153+226=,379,273+283=,556,19867,20866
43547,+,153+227=,380,124+73=,197,13897,4468
43548,+,153+228=,381,62+213=,275,19162,14417
43549,+,153+229=,382,147+90=,237,18781,14590
43550,+,153+230=,383,112+108=,220,19230,8610
43551,+,153+231=,384,100+42=,142,12910,10239
43552,+,153+232=,385,55+98=,153,18695,9800
43553,+,153+233=,386,37+79=,116,16481,8027
43554,+,153+234=,387,211+17=,228,20062,14261
43555,+,153+235=,388,294+7=,301,19081,12405
43556,+,153+236=,389,121+144=,265,20422,14374
43557,+,153+237=,390,178+187=,365,15515,12676
43558,+,153+238=,391,296+177=,473,19631,21505
43559,+,153+239=,392,72+33=,105,19695,6550
43560,+,153+240=,393,140+23=,163,18252,9892
43561,+,153+241=,394,191+24=,215,20077,12112
43562,+,153+242=,395,148+190=,338,19498,18633
43563,+,153+243=,396,118+13=,131,19615,9263
43564,+,153+244=,397,126+246=,372,20698,17662
43565,+,153+245=,398,290+17=,307,19838,14777
43566,+,153+246=,399,156+215=,371,18572,18650
43567,+,153+247=,400,32+82=,114,3443,8011
43568,+,153+248=,401,120+62=,182,10841,10828
43569,+,153+249=,402,183+133=,316,16496,15340
43570,+,153+250=,403,72+72=,144,13074,8929
43571,+,153+251=,404,262+148=,410,7507,14487
43572,+,153+252=,405,98+253=,351,16408,18113
43573,+,153+253=,406,86+129=,215,17264,12112
43574,+,153+254=,407,121+279=,400,18501,3443
43575,+,153+255=,408,215+187=,402,18058,16496
43576,+,153+256=,409,260+126=,386,12378,16481
43577,+,153+257=,410,238+17=,255,14487,3192
43578,+,153+258=,411,109+241=,350,17337,8652
43579,+,153+259=,412,263+221=,484,17574,20339
43580,+,153+260=,413,96+39=,135,19288,8878
43581,+,153+261=,414,249+111=,360,17448,6843
43582,+,153+262=,415,198+64=,262,18136,14274
43583,+,153+263=,416,72+103=,175,17763,10005
43584,+,153+264=,417,156+179=,335,19561,16596
43585,+,153+265=,418,232+231=,463,19770,21290
43586,+,153+266=,419,107+261=,368,19391,19057
43587,+,153+267=,420,291+278=,569,12819,23642
43588,+,153+268=,421,143+0=,143,18245,10290
43589,+,153+269=,422,10+164=,174,16460,11771
43590,+,153+270=,423,0+251=,251,19711,13860
43591,+,153+271=,424,212+132=,344,18517,17451
43592,+,153+272=,425,191+85=,276,17837,16660
43593,+,153+273=,426,230+261=,491,20363,21824
43594,+,153+274=,427,260+171=,431,20465,19852
43595,+,153+275=,428,228+174=,402,19140,16496
43596,+,153+276=,429,228+246=,474,16371,21358
43597,+,153+277=,430,284+190=,474,14245,21358
43598,+,153+278=,431,51+180=,231,19852,12245
43599,+,153+279=,432,246+263=,509,16739,12448
43600,+,153+280=,433,229+178=,407,20153,18501
43601,+,153+281=,434,3+39=,42,20165,2983
43602,+,153+282=,435,16+52=,68,19305,2614
43603,+,153+283=,436,198+224=,422,21299,16460
43604,+,153+284=,437,193+275=,468,18318,20304
43605,+,153+285=,438,10+37=,47,20596,2618
43606,+,153+286=,439,183+192=,375,20963,12935
43607,+,153+287=,440,216+59=,275,14868,14417
43608,+,153+288=,441,246+271=,517,18495,22507
43609,+,153+289=,442,125+223=,348,20502,19746
43610,+,153+290=,443,288+133=,421,17147,18245
43611,+,153+291=,444,217+109=,326,14870,17470
43612,+,153+292=,445,276+38=,314,19697,16104
43613,+,153+293=,446,91+80=,171,20385,11123
43614,+,153+294=,447,62+163=,225,20800,11057
43615,+,153+295=,448,56+8=,64,19956,1227
43616,+,153+296=,449,286+126=,412,21125,17574
43617,+,153+297=,450,125+51=,176,10617,10967
43618,+,153+298=,451,22+134=,156,20360,10132
43619,+,153+299=,452,39+147=,186,21098,9714
43620,+,154+0=,154,290+205=,495,10559,21038
43621,+,154+1=,155,211+33=,244,9992,13719
43622,+,154+2=,156,56+29=,85,10132,5313
43623,+,154+3=,157,223+136=,359,10895,19192
43624,+,154+4=,158,136+264=,400,11286,3443
43625,+,154+5=,159,77+273=,350,11068,8652
43626,+,154+6=,160,234+46=,280,6330,11209
43627,+,154+7=,161,221+216=,437,10718,18318
43628,+,154+8=,162,207+285=,492,10674,21776
43629,+,154+9=,163,276+58=,334,9892,17153
43630,+,154+10=,164,289+1=,290,10513,13754
43631,+,154+11=,165,105+270=,375,10680,12935
43632,+,154+12=,166,297+229=,526,11247,22593
43633,+,154+13=,167,87+41=,128,11515,4386
43634,+,154+14=,168,27+297=,324,8953,16723
43635,+,154+15=,169,56+53=,109,11739,7743
43636,+,154+16=,170,201+122=,323,8258,15726
43637,+,154+17=,171,74+208=,282,11123,16544
43638,+,154+18=,172,276+73=,349,10861,18634
43639,+,154+19=,173,68+190=,258,11908,15966
43640,+,154+20=,174,262+258=,520,11771,15830
43641,+,154+21=,175,88+172=,260,10005,11387
43642,+,154+22=,176,98+82=,180,10967,5245
43643,+,154+23=,177,12+253=,265,11242,14374
43644,+,154+24=,178,144+153=,297,11256,18163
43645,+,154+25=,179,1+73=,74,11128,5728
43646,+,154+26=,180,87+291=,378,5245,19166
43647,+,154+27=,181,64+162=,226,10562,14057
43648,+,154+28=,182,185+275=,460,10828,16551
43649,+,154+29=,183,297+292=,589,10750,22905
43650,+,154+30=,184,13+251=,264,10336,12815
43651,+,154+31=,185,115+185=,300,9741,3101
43652,+,154+32=,186,167+73=,240,9714,8273
43653,+,154+33=,187,298+127=,425,9674,17837
43654,+,154+34=,188,34+129=,163,9367,9892
43655,+,154+35=,189,75+269=,344,9378,17451
43656,+,154+36=,190,212+272=,484,7028,20339
43657,+,154+37=,191,87+239=,326,7529,17470
43658,+,154+38=,192,108+62=,170,5926,8258
43659,+,154+39=,193,98+0=,98,7285,3264
43660,+,154+40=,194,224+277=,501,6393,14408
43661,+,154+41=,195,229+71=,300,6280,3101
43662,+,154+42=,196,96+112=,208,5162,12171
43663,+,154+43=,197,252+122=,374,4468,18265
43664,+,154+44=,198,96+260=,356,3753,18349
43665,+,154+45=,199,259+298=,557,2550,23906
43666,+,154+46=,200,274+126=,400,1049,3443
43667,+,154+47=,201,275+8=,283,679,16085
43668,+,154+48=,202,208+152=,360,2366,6843
43669,+,154+49=,203,271+8=,279,9639,17267
43670,+,154+50=,204,98+4=,102,7854,4278
43671,+,154+51=,205,202+54=,256,10866,4146
43672,+,154+52=,206,254+115=,369,11056,19929
43673,+,154+53=,207,224+79=,303,12060,13236
43674,+,154+54=,208,150+252=,402,12171,16496
43675,+,154+55=,209,97+262=,359,12652,19192
43676,+,154+56=,210,229+54=,283,8848,16085
43677,+,154+57=,211,280+17=,297,11483,18163
43678,+,154+58=,212,251+156=,407,11227,18501
43679,+,154+59=,213,293+90=,383,11702,19230
43680,+,154+60=,214,196+114=,310,11584,12226
43681,+,154+61=,215,281+293=,574,12112,23402
43682,+,154+62=,216,86+158=,244,12463,13719
43683,+,154+63=,217,156+216=,372,13460,17662
43684,+,154+64=,218,203+73=,276,13302,16660
43685,+,154+65=,219,206+104=,310,13762,12226
43686,+,154+66=,220,282+35=,317,8610,16718
43687,+,154+67=,221,21+140=,161,12425,10718
43688,+,154+68=,222,270+207=,477,9716,21144
43689,+,154+69=,223,273+55=,328,12533,16884
43690,+,154+70=,224,292+92=,384,10697,12910
43691,+,154+71=,225,189+51=,240,11057,8273
43692,+,154+72=,226,110+156=,266,14057,15999
43693,+,154+73=,227,139+56=,195,14206,6280
43694,+,154+74=,228,217+0=,217,14261,13460
43695,+,154+75=,229,245+217=,462,14378,20911
43696,+,154+76=,230,12+259=,271,9870,15828
43697,+,154+77=,231,76+240=,316,12245,15340
43698,+,154+78=,232,131+102=,233,12338,12994
43699,+,154+79=,233,197+212=,409,12994,12378
43700,+,154+80=,234,95+76=,171,11727,11123
43701,+,154+81=,235,86+142=,228,12422,14261
43702,+,154+82=,236,291+257=,548,14087,22287
43703,+,154+83=,237,53+253=,306,14590,12879
43704,+,154+84=,238,134+211=,345,13895,12901
43705,+,154+85=,239,236+288=,524,14815,21177
43706,+,154+86=,240,126+188=,314,8273,16104
43707,+,154+87=,241,183+203=,386,13341,16481
43708,+,154+88=,242,232+102=,334,12754,17153
43709,+,154+89=,243,112+2=,114,14052,8011
43710,+,154+90=,244,21+16=,37,13719,1806
43711,+,154+92=,246,74+273=,347,14205,17678
43712,+,154+93=,247,226+288=,514,14125,20998
43713,+,154+94=,248,10+61=,71,14185,6028
43714,+,154+95=,249,191+220=,411,14735,17337
43715,+,154+97=,251,144+240=,384,13860,12910
43716,+,154+98=,252,95+231=,326,12326,17470
43717,+,154+99=,253,150+269=,419,14022,19391
43718,+,154+100=,254,108+80=,188,12375,9367
43719,+,154+101=,255,159+224=,383,3192,19230
43720,+,154+102=,256,16+123=,139,4146,10125
43721,+,154+103=,257,63+208=,271,15574,15828
43722,+,154+104=,258,186+280=,466,15966,21404
43723,+,154+105=,259,280+188=,468,15537,20304
43724,+,154+106=,260,274+220=,494,11387,22054
43725,+,154+107=,261,168+277=,445,15602,19697
43726,+,154+108=,262,215+195=,410,14274,14487
43727,+,154+109=,263,245+19=,264,15666,12815
43728,+,154+110=,264,98+38=,136,12815,9795
43729,+,154+111=,265,104+23=,127,14374,6804
43730,+,154+112=,266,124+275=,399,15999,18572
43731,+,154+113=,267,108+195=,303,16567,13236
43732,+,154+114=,268,186+248=,434,16332,20165
43733,+,154+115=,269,122+153=,275,16955,14417
43734,+,154+116=,270,244+226=,470,10914,17711
43735,+,154+117=,271,48+263=,311,15828,15134
43736,+,154+118=,272,168+140=,308,15741,14498
43737,+,154+119=,273,202+75=,277,15451,16367
43738,+,154+120=,274,40+132=,172,16590,10861
43739,+,154+121=,275,38+68=,106,14417,7461
43740,+,154+122=,276,254+200=,454,16660,20555
43741,+,154+123=,277,125+190=,315,16367,15189
43742,+,154+124=,278,249+164=,413,16949,19288
43743,+,154+125=,279,48+142=,190,17267,7028
43744,+,154+126=,280,222+149=,371,11209,18650
43745,+,154+127=,281,77+191=,268,15282,16332
43746,+,154+128=,282,120+180=,300,16544,3101
43747,+,154+129=,283,126+132=,258,16085,15966
43748,+,154+130=,284,281+163=,444,17058,14870
43749,+,154+131=,285,232+82=,314,15935,16104
43750,+,154+132=,286,58+28=,86,17361,4218
43751,+,154+133=,287,226+138=,364,17897,15951
43752,+,154+134=,288,126+298=,424,15287,18517
43753,+,154+135=,289,37+293=,330,17212,10568
43754,+,154+136=,290,208+41=,249,13754,14735
43755,+,154+137=,291,215+131=,346,17335,18061
43756,+,154+138=,292,204+118=,322,16443,15805
43757,+,154+139=,293,235+14=,249,17313,14735
43758,+,154+140=,294,31+249=,280,17168,11209
43759,+,154+141=,295,199+90=,289,16780,17212
43760,+,154+142=,296,113+182=,295,17408,16780
43761,+,154+143=,297,35+102=,137,18163,10148
43762,+,154+144=,298,219+49=,268,17690,16332
43763,+,154+145=,299,81+255=,336,15531,17014
43764,+,154+146=,300,83+162=,245,3101,13078
43765,+,154+147=,301,178+78=,256,12405,4146
43766,+,154+148=,302,262+7=,269,13121,16955
43767,+,154+149=,303,161+4=,165,13236,10680
43768,+,154+150=,304,112+159=,271,12166,15828
43769,+,154+151=,305,14+154=,168,13364,8953
43770,+,154+152=,306,269+223=,492,12879,21776
43771,+,154+153=,307,72+106=,178,14777,11256
43772,+,154+154=,308,150+257=,407,14498,18501
43773,+,154+155=,309,40+252=,292,15500,16443
43774,+,154+156=,310,264+94=,358,12226,17112
43775,+,154+157=,311,292+265=,557,15134,23906
43776,+,154+158=,312,242+34=,276,13384,16660
43777,+,154+159=,313,165+86=,251,15231,13860
43778,+,154+160=,314,33+236=,269,16104,16955
43779,+,154+161=,315,213+192=,405,15189,16408
43780,+,154+162=,316,194+110=,304,15340,12166
43781,+,154+163=,317,11+198=,209,16718,12652
43782,+,154+164=,318,138+265=,403,17592,13074
43783,+,154+165=,319,191+1=,192,16874,5926
43784,+,154+166=,320,174+35=,209,9588,12652
43785,+,154+167=,321,167+180=,347,14423,17678
43786,+,154+168=,322,70+226=,296,15805,17408
43787,+,154+169=,323,150+38=,188,15726,9367
43788,+,154+170=,324,92+197=,289,16723,17212
43789,+,154+171=,325,244+55=,299,15257,15531
43790,+,154+172=,326,151+57=,208,17470,12171
43791,+,154+173=,327,211+248=,459,13817,22094
43792,+,154+174=,328,249+299=,548,16884,22287
43793,+,154+175=,329,297+101=,398,18196,19838
43794,+,154+176=,330,25+299=,324,10568,16723
43795,+,154+177=,331,147+26=,173,16707,11908
43796,+,154+178=,332,28+246=,274,17079,16590
43797,+,154+179=,333,140+215=,355,8765,17306
43798,+,154+180=,334,110+230=,340,17153,13679
43799,+,154+181=,335,157+126=,283,16596,16085
43800,+,154+182=,336,57+94=,151,17014,9690
43801,+,154+183=,337,15+290=,305,17609,13364
43802,+,154+184=,338,150+25=,175,18633,10005
43803,+,154+185=,339,296+246=,542,17887,21791
43804,+,154+186=,340,188+220=,408,13679,18058
43805,+,154+187=,341,286+90=,376,16546,18322
43806,+,154+188=,342,14+80=,94,17590,6281
43807,+,154+189=,343,238+130=,368,16522,19057
43808,+,154+190=,344,88+177=,265,17451,14374
43809,+,154+191=,345,127+95=,222,12901,9716
43810,+,154+192=,346,193+5=,198,18061,3753
43811,+,154+193=,347,35+293=,328,17678,16884
43812,+,154+194=,348,5+126=,131,19746,9263
43813,+,154+195=,349,88+265=,353,18634,17228
43814,+,154+196=,350,103+130=,233,8652,12994
43815,+,154+197=,351,84+54=,138,18113,10350
43816,+,154+198=,352,210+151=,361,16482,18277
43817,+,154+199=,353,54+1=,55,17228,2131
43818,+,154+200=,354,95+132=,227,18384,14206
43819,+,154+201=,355,230+208=,438,17306,20596
43820,+,154+202=,356,247+41=,288,18349,15287
43821,+,154+203=,357,135+47=,182,18520,10828
43822,+,154+204=,358,212+11=,223,17112,12533
43823,+,154+205=,359,186+173=,359,19192,19192
43824,+,154+206=,360,183+103=,286,6843,17361
43825,+,154+207=,361,253+4=,257,18277,15574
43826,+,154+208=,362,154+53=,207,18509,12060
43827,+,154+209=,363,182+235=,417,18199,19561
43828,+,154+210=,364,111+161=,272,15951,15741
43829,+,154+211=,365,27+19=,46,12676,2790
43830,+,154+212=,366,196+275=,471,18044,20617
43831,+,154+213=,367,120+51=,171,18775,11123
43832,+,154+214=,368,23+122=,145,19057,9591
43833,+,154+215=,369,186+258=,444,19929,14870
43834,+,154+216=,370,232+8=,240,14648,8273
43835,+,154+217=,371,243+196=,439,18650,20963
43836,+,154+218=,372,6+7=,13,17662,1032
43837,+,154+219=,373,243+221=,464,18017,21033
43838,+,154+220=,374,293+171=,464,18265,21033
43839,+,154+221=,375,164+163=,327,12935,13817
43840,+,154+222=,376,94+27=,121,18322,7994
43841,+,154+223=,377,3+58=,61,10898,5547
43842,+,154+224=,378,169+43=,212,19166,11227
43843,+,154+225=,379,205+284=,489,19867,22418
43844,+,154+226=,380,84+114=,198,13897,3753
43845,+,154+227=,381,212+237=,449,19162,21125
43846,+,154+228=,382,80+89=,169,18781,11739
43847,+,154+229=,383,53+79=,132,19230,9413
43848,+,154+230=,384,297+221=,518,12910,21312
43849,+,154+231=,385,21+119=,140,18695,6860
43850,+,154+232=,386,211+276=,487,16481,22184
43851,+,154+233=,387,157+27=,184,20062,10336
43852,+,154+234=,388,60+159=,219,19081,13762
43853,+,154+235=,389,213+6=,219,20422,13762
43854,+,154+236=,390,31+178=,209,15515,12652
43855,+,154+237=,391,248+21=,269,19631,16955
43856,+,154+238=,392,225+3=,228,19695,14261
43857,+,154+239=,393,100+76=,176,18252,10967
43858,+,154+240=,394,49+47=,96,20077,4161
43859,+,154+241=,395,208+40=,248,19498,14185
43860,+,154+242=,396,116+215=,331,19615,16707
43861,+,154+243=,397,156+247=,403,20698,13074
43862,+,154+244=,398,193+282=,475,19838,19799
43863,+,154+245=,399,15+285=,300,18572,3101
43864,+,154+246=,400,199+109=,308,3443,14498
43865,+,154+247=,401,299+120=,419,10841,19391
43866,+,154+248=,402,88+103=,191,16496,7529
43867,+,154+249=,403,144+229=,373,13074,18017
43868,+,154+250=,404,14+259=,273,7507,15451
43869,+,154+251=,405,213+83=,296,16408,17408
43870,+,154+252=,406,112+152=,264,17264,12815
43871,+,154+253=,407,165+182=,347,18501,17678
43872,+,154+254=,408,179+221=,400,18058,3443
43873,+,154+255=,409,80+288=,368,12378,19057
43874,+,154+256=,410,215+168=,383,14487,19230
43875,+,154+257=,411,258+85=,343,17337,16522
43876,+,154+258=,412,171+188=,359,17574,19192
43877,+,154+259=,413,33+232=,265,19288,14374
43878,+,154+260=,414,133+265=,398,17448,19838
43879,+,154+261=,415,178+230=,408,18136,18058
43880,+,154+262=,416,170+0=,170,17763,8258
43881,+,154+263=,417,283+88=,371,19561,18650
43882,+,154+264=,418,221+3=,224,19770,10697
43883,+,154+265=,419,223+161=,384,19391,12910
43884,+,154+266=,420,264+206=,470,12819,17711
43885,+,154+267=,421,235+297=,532,18245,20711
43886,+,154+268=,422,87+267=,354,16460,18384
43887,+,154+269=,423,50+130=,180,19711,5245
43888,+,154+270=,424,98+122=,220,18517,8610
43889,+,154+271=,425,78+110=,188,17837,9367
43890,+,154+272=,426,2+179=,181,20363,10562
43891,+,154+273=,427,208+113=,321,20465,14423
43892,+,154+274=,428,54+6=,60,19140,1399
43893,+,154+275=,429,217+76=,293,16371,17313
43894,+,154+276=,430,59+155=,214,14245,11584
43895,+,154+277=,431,285+64=,349,19852,18634
43896,+,154+278=,432,164+10=,174,16739,11771
43897,+,154+279=,433,97+69=,166,20153,11247
43898,+,154+280=,434,240+46=,286,20165,17361
43899,+,154+281=,435,122+72=,194,19305,6393
43900,+,154+282=,436,81+140=,221,21299,12425
43901,+,154+283=,437,282+245=,527,18318,22369
43902,+,154+284=,438,100+39=,139,20596,10125
43903,+,154+285=,439,108+244=,352,20963,16482
43904,+,154+286=,440,106+205=,311,14868,15134
43905,+,154+287=,441,243+4=,247,18495,14125
43906,+,154+288=,442,172+26=,198,20502,3753
43907,+,154+289=,443,68+58=,126,17147,9390
43908,+,154+290=,444,124+240=,364,14870,15951
43909,+,154+291=,445,170+141=,311,19697,15134
43910,+,154+292=,446,222+115=,337,20385,17609
43911,+,154+293=,447,47+5=,52,20800,4103
43912,+,154+294=,448,138+207=,345,19956,12901
43913,+,154+295=,449,290+60=,350,21125,8652
43914,+,154+296=,450,224+191=,415,10617,18136
43915,+,154+297=,451,28+169=,197,20360,4468
43916,+,154+298=,452,68+271=,339,21098,17887
43917,+,154+299=,453,120+65=,185,20235,9741
43918,+,155+0=,155,153+143=,296,9992,17408
43919,+,155+1=,156,154+279=,433,10132,20153
43920,+,155+2=,157,29+175=,204,10895,7854
43921,+,155+3=,158,210+40=,250,11286,5154
43922,+,155+4=,159,78+158=,236,11068,14087
43923,+,155+5=,160,44+0=,44,6330,2096
43924,+,155+6=,161,118+272=,390,10718,15515
43925,+,155+7=,162,167+191=,358,10674,17112
43926,+,155+8=,163,199+25=,224,9892,10697
43927,+,155+9=,164,95+197=,292,10513,16443
43928,+,155+10=,165,220+11=,231,10680,12245
43929,+,155+11=,166,286+1=,287,11247,17897
43930,+,155+12=,167,263+162=,425,11515,17837
43931,+,155+13=,168,84+231=,315,8953,15189
43932,+,155+14=,169,245+20=,265,11739,14374
43933,+,155+15=,170,241+26=,267,8258,16567
43934,+,155+16=,171,47+13=,60,11123,1399
43935,+,155+17=,172,135+80=,215,10861,12112
43936,+,155+18=,173,50+246=,296,11908,17408
43937,+,155+19=,174,91+46=,137,11771,10148
43938,+,155+20=,175,23+18=,41,10005,3174
43939,+,155+21=,176,146+124=,270,10967,10914
43940,+,155+22=,177,238+222=,460,11242,16551
43941,+,155+23=,178,49+231=,280,11256,11209
43942,+,155+24=,179,186+285=,471,11128,20617
43943,+,155+25=,180,274+156=,430,5245,14245
43944,+,155+26=,181,125+188=,313,10562,15231
43945,+,155+27=,182,127+109=,236,10828,14087
43946,+,155+28=,183,148+20=,168,10750,8953
43947,+,155+29=,184,119+200=,319,10336,16874
43948,+,155+30=,185,53+189=,242,9741,12754
43949,+,155+31=,186,65+112=,177,9714,11242
43950,+,155+32=,187,44+197=,241,9674,13341
43951,+,155+33=,188,279+28=,307,9367,14777
43952,+,155+34=,189,141+193=,334,9378,17153
43953,+,155+35=,190,240+253=,493,7028,22741
43954,+,155+36=,191,161+61=,222,7529,9716
43955,+,155+37=,192,206+4=,210,5926,8848
43956,+,155+38=,193,158+108=,266,7285,15999
43957,+,155+39=,194,40+239=,279,6393,17267
43958,+,155+40=,195,279+284=,563,6280,21789
43959,+,155+41=,196,84+63=,147,5162,10288
43960,+,155+42=,197,266+235=,501,4468,14408
43961,+,155+43=,198,21+52=,73,3753,5958
