clean,h1,hypernym,answers,answers_idx,corrupted,c1,corrupted_hypernym,corrupted_answers,corrupted_answers_idx,clean2,corrupted2,prob_diff
", field hockey and other",field hockey,sport,['sports'],[5701],", second cousins and other",second cousins,relative,"['relatives', 'family']","[12772, 1641]",field hockey is a type of,second cousins are a type of,0.3186130225658417
", skiing and other",skiing,sport,['sports'],[5701],", trout and other",trout,fish,"['fish', 'fishes']","[5916, 49765]",skiing is a type of,trout are a type of,0.05957746133208275
", cheerleading and other",cheerleading,sport,['sports'],[5701],", rupees and other",rupees,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",cheerleading is a type of,rupees are a type of,0.044552501291036606
", running and other",running,sport,['sports'],[5701],", dresses and other",dresses,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",running is a type of,dresses are a type of,0.0005055383080616593
", gymnastics and other",gymnastics,sport,['sports'],[5701],", gemstones and other",gemstones,gem,"['gem', 'gems']","[16840, 23685]",gymnastics is a type of,gemstones are a type of,0.22766649723052979
", polo and other",polo,sport,['sports'],[5701],", pliers and other",pliers,tool,['tools'],[4899],polo is a type of,pliers are a type of,0.04102901369333267
", racquetball and other",racquetball,sport,['sports'],[5701],", micrometers and other",micrometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",racquetball is a type of,micrometers are a type of,0.18995162844657898
", wrestling and other",wrestling,sport,['sports'],[5701],", pumps and other",pumps,footwear,['footwear'],[43463],wrestling is a type of,pumps are a type of,0.13539253175258636
", bowling and other",bowling,sport,['sports'],[5701],", alternative and other",alternative,music,['music'],[2647],bowling is a type of,alternative is a type of,0.1304781138896942
", cross country and other",cross country,sport,['sports'],[5701],", businesswomen and other",businesswomen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",cross country is a type of,businesswomen are a type of,0.01460942905396223
", badminton and other",badminton,sport,['sports'],[5701],", foot stools and other",foot stools,furniture,['furniture'],[13091],badminton is a type of,foot stools are a type of,0.09277283400297165
", cricket and other",cricket,sport,['sports'],[5701],", professors and other",professors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",cricket is a type of,professors are a type of,0.24497376382350922
", water polo and other",water polo,sport,['sports'],[5701],", carpenters and other",carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",water polo is a type of,carpenters are a type of,0.07195430994033813
", tornados and other",tornados,weather,"['weather', 'natural']","[6193, 3288]",", maces and other",maces,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",tornados are a type of,maces are a type of,0.024431465193629265
", hurricanes and other",hurricanes,weather,"['weather', 'natural']","[6193, 3288]",", golf and other",golf,sport,['sports'],[5701],hurricanes are a type of,golf is a type of,0.21915438771247864
", rain and other",rain,weather,"['weather', 'natural']","[6193, 3288]",", soldiers and other",soldiers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",rain is a type of,soldiers are a type of,0.08795564621686935
", snow and other",snow,weather,"['weather', 'natural']","[6193, 3288]",", quarters and other",quarters,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",snow is a type of,quarters are a type of,0.03449128195643425
", hail and other",hail,weather,"['weather', 'natural']","[6193, 3288]",", inches and other",inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",hail is a type of,inches are a type of,0.005818003788590431
", floods and other",floods,weather,"['weather', 'natural']","[6193, 3288]",", lamps and other",lamps,furniture,['furniture'],[13091],floods are a type of,lamps are a type of,0.08755742013454437
", lightning and other",lightning,weather,"['weather', 'natural']","[6193, 3288]",", track and other",track,sport,['sports'],[5701],lightning is a type of,track is a type of,0.013937287032604218
", blizzards and other",blizzards,weather,"['weather', 'natural']","[6193, 3288]",", topazs and other",topazs,gem,"['gem', 'gems']","[16840, 23685]",blizzards are a type of,topazs are a type of,0.0037445558700710535
", earthquakes and other",earthquakes,weather,"['weather', 'natural']","[6193, 3288]",", arson and other",arson,crime,"['crimes', 'crime']","[6741, 4065]",earthquakes are a type of,arson is a type of,0.24104328453540802
", sleet and other",sleet,weather,"['weather', 'natural']","[6193, 3288]",", oboes and other",oboes,instrument,"['musical', 'instruments']","[10530, 12834]",sleet is a type of,oboes are a type of,0.005860136356204748
", monsoons and other",monsoons,weather,"['weather', 'natural']","[6193, 3288]",", brass knuckles and other",brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",monsoons are a type of,brass knuckles are a type of,0.0012594966683536768
", thunder and other",thunder,weather,"['weather', 'natural']","[6193, 3288]",", mosquitoes and other",mosquitoes,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",thunder is a type of,mosquitoes are a type of,0.01228528656065464
", wind and other",wind,weather,"['weather', 'natural']","[6193, 3288]",", meters and other",meters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",wind is a type of,meters are a type of,0.035574957728385925
", tsunamis and other",tsunamis,weather,"['weather', 'natural']","[6193, 3288]",", flounder and other",flounder,fish,"['fish', 'fishes']","[5916, 49765]",tsunamis are a type of,flounder are a type of,0.062421780079603195
", storms and other",storms,weather,"['weather', 'natural']","[6193, 3288]",", skiing and other",skiing,sport,['sports'],[5701],storms are a type of,skiing is a type of,0.09886832535266876
", thunderstorms and other",thunderstorms,weather,"['weather', 'natural']","[6193, 3288]",", rubies and other",rubies,gem,"['gem', 'gems']","[16840, 23685]",thunderstorms are a type of,rubies are a type of,0.08992244303226471
", typhoons and other",typhoons,weather,"['weather', 'natural']","[6193, 3288]",", slippers and other",slippers,footwear,['footwear'],[43463],typhoons are a type of,slippers are a type of,0.13226039707660675
", drought and other",drought,weather,"['weather', 'natural']","[6193, 3288]",", horns and other",horns,instrument,"['musical', 'instruments']","[10530, 12834]",drought is a type of,horns are a type of,0.05351133272051811
", clouds and other",clouds,weather,"['weather', 'natural']","[6193, 3288]",", trout and other",trout,fish,"['fish', 'fishes']","[5916, 49765]",clouds are a type of,trout are a type of,0.019134262576699257
", tidal waves and other",tidal waves,weather,"['weather', 'natural']","[6193, 3288]",", gymnastics and other",gymnastics,sport,['sports'],[5701],tidal waves are a type of,gymnastics is a type of,0.06815571337938309
", shirts and other",shirts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", alternative and other",alternative,music,['music'],[2647],shirts are a type of,alternative is a type of,0.03211657330393791
", pantss and other",pantss,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", french horns and other",french horns,instrument,"['musical', 'instruments']","[10530, 12834]",pantss are a type of,french horns are a type of,0.0009182266076095402
", socks and other",socks,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", guitars and other",guitars,instrument,"['musical', 'instruments']","[10530, 12834]",socks are a type of,guitars are a type of,0.06747898459434509
", underwears and other",underwears,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", sparrows and other",sparrows,bird,"['birds', 'bird']","[10087, 6512]",underwears are a type of,sparrows are a type of,0.05494023486971855
", shoes and other",shoes,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", decades and other",decades,time,"['time', 'units']","[640, 4991]",shoes are a type of,decades are a type of,0.036876510828733444
", hats and other",hats,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", swimming and other",swimming,sport,['sports'],[5701],hats are a type of,swimming is a type of,0.03159205988049507
", shorts and other",shorts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", chickens and other",chickens,bird,"['birds', 'bird']","[10087, 6512]",shorts are a type of,chickens are a type of,0.1120176613330841
", jackets and other",jackets,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", ducks and other",ducks,bird,"['birds', 'bird']","[10087, 6512]",jackets are a type of,ducks are a type of,0.11965084820985794
", sweaters and other",sweaters,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", bluegrass and other",bluegrass,music,['music'],[2647],sweaters are a type of,bluegrass is a type of,0.09852160513401031
", bras and other",bras,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", cents and other",cents,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",bras are a type of,cents are a type of,0.049845486879348755
", skirts and other",skirts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", ducks and other",ducks,bird,"['birds', 'bird']","[10087, 6512]",skirts are a type of,ducks are a type of,0.14861194789409637
", jeanss and other",jeanss,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", rubies and other",rubies,gem,"['gem', 'gems']","[16840, 23685]",jeanss are a type of,rubies are a type of,0.117699034512043
", coats and other",coats,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", drought and other",drought,weather,"['weather', 'natural']","[6193, 3288]",coats are a type of,drought is a type of,0.04407915845513344
", dresses and other",dresses,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", alternative and other",alternative,music,['music'],[2647],dresses are a type of,alternative is a type of,0.0814623013138771
", t-shirts and other",t-shirts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", R&B and other",R&B,music,['music'],[2647],t-shirts are a type of,R&B is a type of,0.028458140790462494
", gloves and other",gloves,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", bombs and other",bombs,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",gloves are a type of,bombs are a type of,0.018236519768834114
", sweatshirts and other",sweatshirts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", carpenters and other",carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",sweatshirts are a type of,carpenters are a type of,0.1542096734046936
", boxer shortss and other",boxer shortss,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", apricots and other",apricots,fruit,"['fruits', 'fruit']","[15921, 8234]",boxer shortss are a type of,apricots are a type of,0.0002744148368947208
", scarves and other",scarves,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", tulips and other",tulips,flower,"['flowers', 'flowering']","[12734, 48573]",scarves are a type of,tulips are a type of,0.06730301678180695
", tank tops and other",tank tops,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", tidal waves and other",tidal waves,weather,"['weather', 'natural']","[6193, 3288]",tank tops are a type of,tidal waves are a type of,0.05315874144434929
", blice and other",blice,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", firs and other",firs,tree,['trees'],[7150],blice are a type of,firs are a type of,1.873471774160862e-06
", ties and other",ties,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", centimeters and other",centimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",ties are a type of,centimeters are a type of,0.0013647805899381638
", belts and other",belts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", elephants and other",elephants,animal,['animals'],[4695],belts are a type of,elephants are a type of,0.007335222791880369
", pantiess and other",pantiess,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", liras and other",liras,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",pantiess are a type of,liras are a type of,0.007525876630097628
", undershirts and other",undershirts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", nickels and other",nickels,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",undershirts are a type of,nickels are a type of,0.09798423200845718
", drums and other",drums,instrument,"['musical', 'instruments']","[10530, 12834]",", caves and other",caves,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",drums are a type of,caves are a type of,0.43534958362579346
", guitars and other",guitars,instrument,"['musical', 'instruments']","[10530, 12834]",", beans and other",beans,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",guitars are a type of,beans are a type of,0.3642423748970032
", flutes and other",flutes,instrument,"['musical', 'instruments']","[10530, 12834]",", pines and other",pines,tree,['trees'],[7150],flutes are a type of,pines are a type of,0.3306310176849365
", pianoes and other",pianoes,instrument,"['musical', 'instruments']","[10530, 12834]",", millimeters and other",millimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",pianoes are a type of,millimeters are a type of,0.14211569726467133
", trumpets and other",trumpets,instrument,"['musical', 'instruments']","[10530, 12834]",", maces and other",maces,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",trumpets are a type of,maces are a type of,0.04467077925801277
", clarinets and other",clarinets,instrument,"['musical', 'instruments']","[10530, 12834]",", flounder and other",flounder,fish,"['fish', 'fishes']","[5916, 49765]",clarinets are a type of,flounder are a type of,0.0025837032590061426
", saxophones and other",saxophones,instrument,"['musical', 'instruments']","[10530, 12834]",", weeping willows and other",weeping willows,tree,['trees'],[7150],saxophones are a type of,weeping willows are a type of,0.4426347017288208
", violins and other",violins,instrument,"['musical', 'instruments']","[10530, 12834]",", corporals and other",corporals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",violins are a type of,corporals are a type of,0.0818748027086258
", trombones and other",trombones,instrument,"['musical', 'instruments']","[10530, 12834]",", angelfish and other",angelfish,fish,"['fish', 'fishes']","[5916, 49765]",trombones are a type of,angelfish are a type of,0.00881960615515709
", tubas and other",tubas,instrument,"['musical', 'instruments']","[10530, 12834]",", corporals and other",corporals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",tubas are a type of,corporals are a type of,0.0008045303402468562
", bass guitars and other",bass guitars,instrument,"['musical', 'instruments']","[10530, 12834]",", softball and other",softball,sport,['sports'],[5701],bass guitars are a type of,softball is a type of,0.2748747766017914
", celloes and other",celloes,instrument,"['musical', 'instruments']","[10530, 12834]",", opals and other",opals,gem,"['gem', 'gems']","[16840, 23685]",celloes are a type of,opals are a type of,0.001830955152399838
", oboes and other",oboes,instrument,"['musical', 'instruments']","[10530, 12834]",", feets and other",feets,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",oboes are a type of,feets are a type of,0.0006848176708444953
", basses and other",basses,instrument,"['musical', 'instruments']","[10530, 12834]",", fleas and other",fleas,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",basses are a type of,fleas are a type of,0.11155343055725098
", violas and other",violas,instrument,"['musical', 'instruments']","[10530, 12834]",", rainbow trout and other",rainbow trout,fish,"['fish', 'fishes']","[5916, 49765]",violas are a type of,rainbow trout are a type of,0.005833219736814499
", harps and other",harps,instrument,"['musical', 'instruments']","[10530, 12834]",", new age and other",new age,music,['music'],[2647],harps are a type of,new age is a type of,0.0007594347698614001
", horns and other",horns,instrument,"['musical', 'instruments']","[10530, 12834]",", vandalism and other",vandalism,crime,"['crimes', 'crime']","[6741, 4065]",horns are a type of,vandalism is a type of,0.025571338832378387
", keyboards and other",keyboards,instrument,"['musical', 'instruments']","[10530, 12834]",", kidnapping and other",kidnapping,crime,"['crimes', 'crime']","[6741, 4065]",keyboards are a type of,kidnapping is a type of,0.003012743778526783
", french horns and other",french horns,instrument,"['musical', 'instruments']","[10530, 12834]",", hornets and other",hornets,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",french horns are a type of,hornets are a type of,0.04102539271116257
", piccoloes and other",piccoloes,instrument,"['musical', 'instruments']","[10530, 12834]",", grand theft auto and other",grand theft auto,crime,"['crimes', 'crime']","[6741, 4065]",piccoloes are a type of,grand theft auto is a type of,0.00031277257949113846
", banjoes and other",banjoes,instrument,"['musical', 'instruments']","[10530, 12834]",", caterpillars and other",caterpillars,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",banjoes are a type of,caterpillars are a type of,-0.0027472353540360928
", harmonicas and other",harmonicas,instrument,"['musical', 'instruments']","[10530, 12834]",", tepees and other",tepees,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",harmonicas are a type of,tepees are a type of,0.0379946231842041
", cymbals and other",cymbals,instrument,"['musical', 'instruments']","[10530, 12834]",", carpenters and other",carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",cymbals are a type of,carpenters are a type of,0.0019498206675052643
", organs and other",organs,instrument,"['musical', 'instruments']","[10530, 12834]",", professors and other",professors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",organs are a type of,professors are a type of,-0.00012796185910701752
", tambourines and other",tambourines,instrument,"['musical', 'instruments']","[10530, 12834]",", daffodils and other",daffodils,flower,"['flowers', 'flowering']","[12734, 48573]",tambourines are a type of,daffodils are a type of,-0.0001120883971452713
", dollars and other",dollars,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",", grapes and other",grapes,fruit,"['fruits', 'fruit']","[15921, 8234]",dollars are a type of,grapes are a type of,0.06356678158044815
", cents and other",cents,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",", miles and other",miles,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",cents are a type of,miles are a type of,0.12317564338445663
", dimes and other",dimes,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",", opals and other",opals,gem,"['gem', 'gems']","[16840, 23685]",dimes are a type of,opals are a type of,0.0034004857297986746
", nickels and other",nickels,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",", halibut and other",halibut,fish,"['fish', 'fishes']","[5916, 49765]",nickels are a type of,halibut are a type of,0.001037599635310471
", quarters and other",quarters,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",", pigs and other",pigs,animal,['animals'],[4695],quarters are a type of,pigs are a type of,0.0025067985989153385
", pesoes and other",pesoes,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",", pantss and other",pantss,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",pesoes are a type of,pantss are a type of,0.31667229533195496
", yens and other",yens,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",", elms and other",elms,tree,['trees'],[7150],yens are a type of,elms are a type of,0.0002810716978274286
", francs and other",francs,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",", dogwoods and other",dogwoods,tree,['trees'],[7150],francs are a type of,dogwoods are a type of,0.12907534837722778
", euroes and other",euroes,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",", french horns and other",french horns,instrument,"['musical', 'instruments']","[10530, 12834]",euroes are a type of,french horns are a type of,0.0358785055577755
", pounds and other",pounds,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",", onions and other",onions,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",pounds are a type of,onions are a type of,0.0006239632493816316
", liras and other",liras,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",", ostriches and other",ostriches,bird,"['birds', 'bird']","[10087, 6512]",liras are a type of,ostriches are a type of,-0.0014472883194684982
", rubles and other",rubles,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",", pliers and other",pliers,tool,['tools'],[4899],rubles are a type of,pliers are a type of,0.20146405696868896
", half dollars and other",half dollars,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",", grandfathers and other",grandfathers,relative,"['relatives', 'family']","[12772, 1641]",half dollars are a type of,grandfathers are a type of,0.022187812253832817
", rupees and other",rupees,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",", harmonicas and other",harmonicas,instrument,"['musical', 'instruments']","[10530, 12834]",rupees are a type of,harmonicas are a type of,0.29797565937042236
", rap and other",rap,music,['music'],[2647],", horns and other",horns,instrument,"['musical', 'instruments']","[10530, 12834]",rap is a type of,horns are a type of,0.02634154073894024
", rock & roll and other",rock & roll,music,['music'],[2647],", piranha and other",piranha,fish,"['fish', 'fishes']","[5916, 49765]",rock & roll is a type of,piranha are a type of,0.0795874148607254
", classical and other",classical,music,['music'],[2647],", flies and other",flies,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",classical is a type of,flies are a type of,0.004866784438490868
", country and other",country,music,['music'],[2647],", strawberries and other",strawberries,fruit,"['fruits', 'fruit']","[15921, 8234]",country is a type of,strawberries are a type of,5.766411777585745e-05
", jazz and other",jazz,music,['music'],[2647],", mothers and other",mothers,relative,"['relatives', 'family']","[12772, 1641]",jazz is a type of,mothers are a type of,0.08130660653114319
", hip hop and other",hip hop,music,['music'],[2647],", blowfish and other",blowfish,fish,"['fish', 'fishes']","[5916, 49765]",hip hop is a type of,blowfish are a type of,0.09154058247804642
", R&B and other",R&B,music,['music'],[2647],", minivans and other",minivans,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",R&B is a type of,minivans are a type of,0.058399949222803116
", pop and other",pop,music,['music'],[2647],", homicide and other",homicide,crime,"['crimes', 'crime']","[6741, 4065]",pop is a type of,homicide is a type of,0.02097635716199875
", alternative and other",alternative,music,['music'],[2647],", cabinets and other",cabinets,furniture,['furniture'],[13091],alternative is a type of,cabinets are a type of,0.00020149305055383593
", punk and other",punk,music,['music'],[2647],", speeding and other",speeding,crime,"['crimes', 'crime']","[6741, 4065]",punk is a type of,speeding is a type of,0.016903582960367203
", blues and other",blues,music,['music'],[2647],", sheep and other",sheep,animal,['animals'],[4695],blues is a type of,sheep are a type of,0.01964048109948635
", reggae and other",reggae,music,['music'],[2647],", tape measures and other",tape measures,tool,['tools'],[4899],reggae is a type of,tape measures are a type of,0.0693027600646019
", heavy metal and other",heavy metal,music,['music'],[2647],", drunk driving and other",drunk driving,crime,"['crimes', 'crime']","[6741, 4065]",heavy metal is a type of,drunk driving is a type of,0.0367344506084919
", techno and other",techno,music,['music'],[2647],", hats and other",hats,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",techno is a type of,hats are a type of,0.03650170937180519
", bluegrass and other",bluegrass,music,['music'],[2647],", slippers and other",slippers,footwear,['footwear'],[43463],bluegrass is a type of,slippers are a type of,0.06957894563674927
", soul and other",soul,music,['music'],[2647],", heels and other",heels,footwear,['footwear'],[43463],soul is a type of,heels are a type of,0.00024172256235033274
", gospel and other",gospel,music,['music'],[2647],", earthquakes and other",earthquakes,weather,"['weather', 'natural']","[6193, 3288]",gospel is a type of,earthquakes are a type of,-0.0007112190942279994
", opera and other",opera,music,['music'],[2647],", chairs and other",chairs,furniture,['furniture'],[13091],opera is a type of,chairs are a type of,0.024914830923080444
", folk and other",folk,music,['music'],[2647],", shelves and other",shelves,furniture,['furniture'],[13091],folk is a type of,shelves are a type of,0.0010634255595505238
", dance and other",dance,music,['music'],[2647],", drills and other",drills,tool,['tools'],[4899],dance is a type of,drills are a type of,0.021770039573311806
", metal and other",metal,music,['music'],[2647],", cabinets and other",cabinets,furniture,['furniture'],[13091],metal is a type of,cabinets are a type of,-0.00025717992684803903
", new age and other",new age,music,['music'],[2647],", mooses and other",mooses,animal,['animals'],[4695],new age is a type of,mooses are a type of,-0.00013361944002099335
", ska and other",ska,music,['music'],[2647],", pansies and other",pansies,flower,"['flowers', 'flowering']","[12734, 48573]",ska is a type of,pansies are a type of,0.04736276715993881
", eagles and other",eagles,bird,"['birds', 'bird']","[10087, 6512]",", drug smuggling and other",drug smuggling,crime,"['crimes', 'crime']","[6741, 4065]",eagles are a type of,drug smuggling is a type of,0.10097123682498932
", robins and other",robins,bird,"['birds', 'bird']","[10087, 6512]",", ladybugs and other",ladybugs,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",robins are a type of,ladybugs are a type of,0.028600482270121574
", bluejays and other",bluejays,bird,"['birds', 'bird']","[10087, 6512]",", micrometers and other",micrometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",bluejays are a type of,micrometers are a type of,0.00040434132097288966
", cardinals and other",cardinals,bird,"['birds', 'bird']","[10087, 6512]",", rubles and other",rubles,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",cardinals are a type of,rubles are a type of,-1.4751437447557691e-05
", hawks and other",hawks,bird,"['birds', 'bird']","[10087, 6512]",", drunk driving and other",drunk driving,crime,"['crimes', 'crime']","[6741, 4065]",hawks are a type of,drunk driving is a type of,0.0015277472557500005
", bluebirds and other",bluebirds,bird,"['birds', 'bird']","[10087, 6512]",", melons and other",melons,fruit,"['fruits', 'fruit']","[15921, 8234]",bluebirds are a type of,melons are a type of,0.13142168521881104
", crows and other",crows,bird,"['birds', 'bird']","[10087, 6512]",", measuring sticks and other",measuring sticks,tool,['tools'],[4899],crows are a type of,measuring sticks are a type of,0.10847757756710052
", hummingbirds and other",hummingbirds,bird,"['birds', 'bird']","[10087, 6512]",", subways and other",subways,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",hummingbirds are a type of,subways are a type of,0.27806228399276733
", parrots and other",parrots,bird,"['birds', 'bird']","[10087, 6512]",", shacks and other",shacks,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",parrots are a type of,shacks are a type of,0.1480107307434082
", sparrows and other",sparrows,bird,"['birds', 'bird']","[10087, 6512]",", piranha and other",piranha,fish,"['fish', 'fishes']","[5916, 49765]",sparrows are a type of,piranha are a type of,0.060140810906887054
", pigeons and other",pigeons,bird,"['birds', 'bird']","[10087, 6512]",", turnips and other",turnips,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",pigeons are a type of,turnips are a type of,0.22084327042102814
", seagulls and other",seagulls,bird,"['birds', 'bird']","[10087, 6512]",", daffodils and other",daffodils,flower,"['flowers', 'flowering']","[12734, 48573]",seagulls are a type of,daffodils are a type of,0.033123698085546494
", doves and other",doves,bird,"['birds', 'bird']","[10087, 6512]",", mansions and other",mansions,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",doves are a type of,mansions are a type of,0.018237678334116936
", parakeets and other",parakeets,bird,"['birds', 'bird']","[10087, 6512]",", R&B and other",R&B,music,['music'],[2647],parakeets are a type of,R&B is a type of,0.016394274309277534
", falcons and other",falcons,bird,"['birds', 'bird']","[10087, 6512]",", colonels and other",colonels,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",falcons are a type of,colonels are a type of,0.13363008201122284
", canaries and other",canaries,bird,"['birds', 'bird']","[10087, 6512]",", couches and other",couches,furniture,['furniture'],[13091],canaries are a type of,couches are a type of,0.001494094030931592
", owls and other",owls,bird,"['birds', 'bird']","[10087, 6512]",", harps and other",harps,instrument,"['musical', 'instruments']","[10530, 12834]",owls are a type of,harps are a type of,0.06558288633823395
", ostriches and other",ostriches,bird,"['birds', 'bird']","[10087, 6512]",", caterpillars and other",caterpillars,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",ostriches are a type of,caterpillars are a type of,0.0024065705947577953
", penguins and other",penguins,bird,"['birds', 'bird']","[10087, 6512]",", light years and other",light years,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",penguins are a type of,light years are a type of,0.08159676194190979
", ravens and other",ravens,bird,"['birds', 'bird']","[10087, 6512]",", wrenches and other",wrenches,tool,['tools'],[4899],ravens are a type of,wrenches are a type of,0.06101745739579201
", ducks and other",ducks,bird,"['birds', 'bird']","[10087, 6512]",", boots and other",boots,footwear,['footwear'],[43463],ducks are a type of,boots are a type of,0.09252043813467026
", finches and other",finches,bird,"['birds', 'bird']","[10087, 6512]",", nanometers and other",nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",finches are a type of,nanometers are a type of,0.001328001613728702
", mockingbirds and other",mockingbirds,bird,"['birds', 'bird']","[10087, 6512]",", treasurers and other",treasurers,politician,"['elected', 'politicians']","[7018, 7602]",mockingbirds are a type of,treasurers are a type of,0.13179495930671692
", woodpeckers and other",woodpeckers,bird,"['birds', 'bird']","[10087, 6512]",", moccasins and other",moccasins,footwear,['footwear'],[43463],woodpeckers are a type of,moccasins are a type of,0.00558610400184989
