clean,h1,h2,hypernym,answers,answers_idx,corrupted,c1,c2,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
 businessmen and psychologists are two types of,businessmen,psychologists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", rats and lions are two types of,rats,lions,animal,['animals'],[4695]
 businessmen and dentists are two types of,businessmen,dentists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", tuna and swordfish are two types of,tuna,swordfish,fish,"['fish', 'fishes']","[5916, 49765]"
 businessmen and engineers are two types of,businessmen,engineers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", mosquitoes and bees are two types of,mosquitoes,bees,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 businessmen and secretaries are two types of,businessmen,secretaries,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", horns and guitars are two types of,horns,guitars,instrument,"['musical', 'instruments']","[10530, 12834]"
 businessmen and managers are two types of,businessmen,managers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", screws and rulers are two types of,screws,rulers,tool,['tools'],[4899]
 businessmen and cooks are two types of,businessmen,cooks,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", years and months are two types of,years,months,time,"['time', 'units']","[640, 4991]"
 businessmen and policemen are two types of,businessmen,policemen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", deer and dogs are two types of,deer,dogs,animal,['animals'],[4695]
 businessmen and athletes are two types of,businessmen,athletes,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", peas and peppers are two types of,peas,peppers,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 businessmen and bankers are two types of,businessmen,bankers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", blades and spears are two types of,blades,spears,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 businessmen and businesswomen are two types of,businessmen,businesswomen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", storms and tidal waves are two types of,storms,tidal waves,weather,"['weather', 'natural']","[6193, 3288]"
 businessmen and carpenters are two types of,businessmen,carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", blues and R&B are two types of,blues,R&B,music,['music'],[2647]
 businessmen and janitors are two types of,businessmen,janitors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", strawberries and lemons are two types of,strawberries,lemons,fruit,"['fruits', 'fruit']","[15921, 8234]"
 businessmen and physical therapists are two types of,businessmen,physical therapists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", ships and skateboards are two types of,ships,skateboards,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]"
 businessmen and police officers are two types of,businessmen,police officers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", drills and nail guns are two types of,drills,nail guns,tool,['tools'],[4899]
 businessmen and scientists are two types of,businessmen,scientists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", soul and pop are two types of,soul,pop,music,['music'],[2647]
 businesswomen and doctors are two types of,businesswomen,doctors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", rupees and dollars are two types of,rupees,dollars,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 businesswomen and teachers are two types of,businesswomen,teachers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", futons and tables are two types of,futons,tables,furniture,['furniture'],[13091]
 businesswomen and lawyers are two types of,businesswomen,lawyers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", privates and generals are two types of,privates,generals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]"
 businesswomen and nurses are two types of,businesswomen,nurses,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", privates and soldiers are two types of,privates,soldiers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]"
 businesswomen and firefighters are two types of,businesswomen,firefighters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", uncles and sisters are two types of,uncles,sisters,relative,"['relatives', 'family']","[12772, 1641]"
 businesswomen and professors are two types of,businesswomen,professors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", huts and apartments are two types of,huts,apartments,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 businesswomen and accountants are two types of,businesswomen,accountants,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", carnations and lilacs are two types of,carnations,lilacs,flower,"['flowers', 'flowering']","[12734, 48573]"
 businesswomen and psychologists are two types of,businesswomen,psychologists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", plums and strawberries are two types of,plums,strawberries,fruit,"['fruits', 'fruit']","[15921, 8234]"
 businesswomen and dentists are two types of,businesswomen,dentists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", privates and colonels are two types of,privates,colonels,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]"
 businesswomen and engineers are two types of,businesswomen,engineers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", owls and chickens are two types of,owls,chickens,bird,"['birds', 'bird']","[10087, 6512]"
 businesswomen and secretaries are two types of,businesswomen,secretaries,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", rupees and quarters are two types of,rupees,quarters,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 businesswomen and managers are two types of,businesswomen,managers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", celery and peas are two types of,celery,peas,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 businesswomen and cooks are two types of,businesswomen,cooks,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", eons and days are two types of,eons,days,time,"['time', 'units']","[640, 4991]"
 businesswomen and policemen are two types of,businesswomen,policemen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", pears and apples are two types of,pears,apples,fruit,"['fruits', 'fruit']","[15921, 8234]"
 businesswomen and athletes are two types of,businesswomen,athletes,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", feets and miles are two types of,feets,miles,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 businesswomen and bankers are two types of,businesswomen,bankers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", maces and spears are two types of,maces,spears,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 businesswomen and businessmen are two types of,businesswomen,businessmen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", drug smuggling and rape are two types of,drug smuggling,rape,crime,"['crimes', 'crime']","[6741, 4065]"
 businesswomen and carpenters are two types of,businesswomen,carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", couches and nightstands are two types of,couches,nightstands,furniture,['furniture'],[13091]
 businesswomen and janitors are two types of,businesswomen,janitors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", drunk driving and drug use are two types of,drunk driving,drug use,crime,"['crimes', 'crime']","[6741, 4065]"
 businesswomen and physical therapists are two types of,businesswomen,physical therapists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", snapper and goldfish are two types of,snapper,goldfish,fish,"['fish', 'fishes']","[5916, 49765]"
 businesswomen and police officers are two types of,businesswomen,police officers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", scarves and sweaters are two types of,scarves,sweaters,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]"
 businesswomen and scientists are two types of,businesswomen,scientists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", new age and folk are two types of,new age,folk,music,['music'],[2647]
 carpenters and doctors are two types of,carpenters,doctors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", South africa and Argentina are two types of,South africa,Argentina,country,"['countries', 'country']","[2678, 1499]"
 carpenters and teachers are two types of,carpenters,teachers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", flip flops and shoes are two types of,flip flops,shoes,footwear,['footwear'],[43463]
 carpenters and lawyers are two types of,carpenters,lawyers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", dormitories and hotels are two types of,dormitories,hotels,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 carpenters and nurses are two types of,carpenters,nurses,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", sergeants and officers are two types of,sergeants,officers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]"
 carpenters and firefighters are two types of,carpenters,firefighters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", mopeds and trucks are two types of,mopeds,trucks,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]"
 carpenters and professors are two types of,carpenters,professors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", secretaries of state and representatives are two types of,secretaries of state,representatives,politician,"['elected', 'politicians']","[7018, 7602]"
 carpenters and accountants are two types of,carpenters,accountants,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", R&B and new age are two types of,R&B,new age,music,['music'],[2647]
 carpenters and psychologists are two types of,carpenters,psychologists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", rock & roll and dance are two types of,rock & roll,dance,music,['music'],[2647]
 carpenters and dentists are two types of,carpenters,dentists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", parakeets and crows are two types of,parakeets,crows,bird,"['birds', 'bird']","[10087, 6512]"
 carpenters and engineers are two types of,carpenters,engineers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", aspens and palms are two types of,aspens,palms,tree,['trees'],[7150]
 carpenters and secretaries are two types of,carpenters,secretaries,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", boxer shortss and shorts are two types of,boxer shortss,shorts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]"
 carpenters and managers are two types of,carpenters,managers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", R&B and techno are two types of,R&B,techno,music,['music'],[2647]
 carpenters and cooks are two types of,carpenters,cooks,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", great aunts and grandparents are two types of,great aunts,grandparents,relative,"['relatives', 'family']","[12772, 1641]"
 carpenters and policemen are two types of,carpenters,policemen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", dandelions and roses are two types of,dandelions,roses,flower,"['flowers', 'flowering']","[12734, 48573]"
 carpenters and athletes are two types of,carpenters,athletes,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", mopeds and trains are two types of,mopeds,trains,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]"
 carpenters and bankers are two types of,carpenters,bankers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", R&B and metal are two types of,R&B,metal,music,['music'],[2647]
 carpenters and businessmen are two types of,carpenters,businessmen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", sycamores and palms are two types of,sycamores,palms,tree,['trees'],[7150]
 carpenters and businesswomen are two types of,carpenters,businesswomen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", secretaries of state and congresswomen are two types of,secretaries of state,congresswomen,politician,"['elected', 'politicians']","[7018, 7602]"
 carpenters and janitors are two types of,carpenters,janitors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", schooners and kayaks are two types of,schooners,kayaks,boat,"['boats', 'vessels', 'ships', 'boat']","[16659, 14891, 7937, 8848]"
 carpenters and physical therapists are two types of,carpenters,physical therapists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", tsunamis and tidal waves are two types of,tsunamis,tidal waves,weather,"['weather', 'natural']","[6193, 3288]"
 carpenters and police officers are two types of,carpenters,police officers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", grand theft auto and drunk driving are two types of,grand theft auto,drunk driving,crime,"['crimes', 'crime']","[6741, 4065]"
 carpenters and scientists are two types of,carpenters,scientists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", zucchini and spinach are two types of,zucchini,spinach,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 janitors and doctors are two types of,janitors,doctors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", irides and roses are two types of,irides,roses,flower,"['flowers', 'flowering']","[12734, 48573]"
 janitors and teachers are two types of,janitors,teachers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", tank tops and belts are two types of,tank tops,belts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]"
 janitors and lawyers are two types of,janitors,lawyers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", pines and palms are two types of,pines,palms,tree,['trees'],[7150]
 janitors and nurses are two types of,janitors,nurses,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", sandals and shoes are two types of,sandals,shoes,footwear,['footwear'],[43463]
 janitors and firefighters are two types of,janitors,firefighters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", vice presidents and presidents are two types of,vice presidents,presidents,politician,"['elected', 'politicians']","[7018, 7602]"
 janitors and professors are two types of,janitors,professors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", cauliflower and peas are two types of,cauliflower,peas,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 janitors and accountants are two types of,janitors,accountants,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", crickets and moths are two types of,crickets,moths,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 janitors and psychologists are two types of,janitors,psychologists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", maces and handguns are two types of,maces,handguns,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 janitors and dentists are two types of,janitors,dentists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", cabs and skateboards are two types of,cabs,skateboards,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]"
 janitors and engineers are two types of,janitors,engineers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", cheerleading and running are two types of,cheerleading,running,sport,['sports'],[5701]
 janitors and secretaries are two types of,janitors,secretaries,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", field hockey and baseball are two types of,field hockey,baseball,sport,['sports'],[5701]
 janitors and managers are two types of,janitors,managers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", crows and chickens are two types of,crows,chickens,bird,"['birds', 'bird']","[10087, 6512]"
 janitors and cooks are two types of,janitors,cooks,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", ska and pop are two types of,ska,pop,music,['music'],[2647]
 janitors and policemen are two types of,janitors,policemen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", second cousins and daughters are two types of,second cousins,daughters,relative,"['relatives', 'family']","[12772, 1641]"
 janitors and athletes are two types of,janitors,athletes,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", hornets and butterflies are two types of,hornets,butterflies,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 janitors and bankers are two types of,janitors,bankers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", elms and palms are two types of,elms,palms,tree,['trees'],[7150]
 janitors and businessmen are two types of,janitors,businessmen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", recliners and desks are two types of,recliners,desks,furniture,['furniture'],[13091]
 janitors and businesswomen are two types of,janitors,businesswomen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", cauliflower and cucumbers are two types of,cauliflower,cucumbers,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 janitors and carpenters are two types of,janitors,carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", cross country and water polo are two types of,cross country,water polo,sport,['sports'],[5701]
 janitors and physical therapists are two types of,janitors,physical therapists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", maples and willows are two types of,maples,willows,tree,['trees'],[7150]
 janitors and police officers are two types of,janitors,police officers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", cabs and subways are two types of,cabs,subways,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]"
 janitors and scientists are two types of,janitors,scientists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", beets and squash are two types of,beets,squash,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 physical therapists and doctors are two types of,physical therapists,doctors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", sandpapers and nails are two types of,sandpapers,nails,tool,['tools'],[4899]
 physical therapists and teachers are two types of,physical therapists,teachers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", subways and vans are two types of,subways,vans,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]"
 physical therapists and lawyers are two types of,physical therapists,lawyers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", polo and football are two types of,polo,football,sport,['sports'],[5701]
 physical therapists and nurses are two types of,physical therapists,nurses,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", opals and diamonds are two types of,opals,diamonds,gem,"['gem', 'gems']","[16840, 23685]"
 physical therapists and firefighters are two types of,physical therapists,firefighters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", pesoes and cents are two types of,pesoes,cents,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 physical therapists and professors are two types of,physical therapists,professors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", drug smuggling and burglary are two types of,drug smuggling,burglary,crime,"['crimes', 'crime']","[6741, 4065]"
 physical therapists and accountants are two types of,physical therapists,accountants,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", ska and heavy metal are two types of,ska,heavy metal,music,['music'],[2647]
 physical therapists and psychologists are two types of,physical therapists,psychologists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", lacrosse and basketball are two types of,lacrosse,basketball,sport,['sports'],[5701]
 physical therapists and dentists are two types of,physical therapists,dentists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", buss and subways are two types of,buss,subways,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]"
 physical therapists and engineers are two types of,physical therapists,engineers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", minnow and tuna are two types of,minnow,tuna,fish,"['fish', 'fishes']","[5916, 49765]"
 physical therapists and secretaries are two types of,physical therapists,secretaries,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", turnips and carrots are two types of,turnips,carrots,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 physical therapists and managers are two types of,physical therapists,managers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", mangoes and oranges are two types of,mangoes,oranges,fruit,"['fruits', 'fruit']","[15921, 8234]"
 physical therapists and cooks are two types of,physical therapists,cooks,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", millimeters and inches are two types of,millimeters,inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 physical therapists and policemen are two types of,physical therapists,policemen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", snapper and carp are two types of,snapper,carp,fish,"['fish', 'fishes']","[5916, 49765]"
 physical therapists and athletes are two types of,physical therapists,athletes,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", colonels and officers are two types of,colonels,officers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]"
 physical therapists and bankers are two types of,physical therapists,bankers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", blueberries and strawberries are two types of,blueberries,strawberries,fruit,"['fruits', 'fruit']","[15921, 8234]"
 physical therapists and businessmen are two types of,physical therapists,businessmen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", recliners and shelves are two types of,recliners,shelves,furniture,['furniture'],[13091]
 physical therapists and businesswomen are two types of,physical therapists,businesswomen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", new age and bluegrass are two types of,new age,bluegrass,music,['music'],[2647]
 physical therapists and carpenters are two types of,physical therapists,carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", townhouses and igloos are two types of,townhouses,igloos,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 physical therapists and janitors are two types of,physical therapists,janitors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", firs and oaks are two types of,firs,oaks,tree,['trees'],[7150]
 physical therapists and police officers are two types of,physical therapists,police officers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", suns and tulips are two types of,suns,tulips,flower,"['flowers', 'flowering']","[12734, 48573]"
 physical therapists and scientists are two types of,physical therapists,scientists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", cucumbers and peas are two types of,cucumbers,peas,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 police officers and doctors are two types of,police officers,doctors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", mangoes and strawberries are two types of,mangoes,strawberries,fruit,"['fruits', 'fruit']","[15921, 8234]"
 police officers and teachers are two types of,police officers,teachers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", second cousins and grandparents are two types of,second cousins,grandparents,relative,"['relatives', 'family']","[12772, 1641]"
 police officers and lawyers are two types of,police officers,lawyers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", euroes and pounds are two types of,euroes,pounds,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 police officers and nurses are two types of,police officers,nurses,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", second cousins and cousins are two types of,second cousins,cousins,relative,"['relatives', 'family']","[12772, 1641]"
 police officers and firefighters are two types of,police officers,firefighters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", half dollars and dollars are two types of,half dollars,dollars,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 police officers and professors are two types of,police officers,professors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", tidal waves and lightning are two types of,tidal waves,lightning,weather,"['weather', 'natural']","[6193, 3288]"
 police officers and accountants are two types of,police officers,accountants,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", crickets and moths are two types of,crickets,moths,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 police officers and psychologists are two types of,police officers,psychologists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", secs and weeks are two types of,secs,weeks,time,"['time', 'units']","[640, 4991]"
 police officers and dentists are two types of,police officers,dentists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", limes and lemons are two types of,limes,lemons,fruit,"['fruits', 'fruit']","[15921, 8234]"
 police officers and engineers are two types of,police officers,engineers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", maces and knives are two types of,maces,knives,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 police officers and secretaries are two types of,police officers,secretaries,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", subways and trains are two types of,subways,trains,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]"
 police officers and managers are two types of,police officers,managers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", cucumbers and lettuce are two types of,cucumbers,lettuce,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 police officers and cooks are two types of,police officers,cooks,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", eons and centuries are two types of,eons,centuries,time,"['time', 'units']","[640, 4991]"
 police officers and policemen are two types of,police officers,policemen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", tank tops and socks are two types of,tank tops,socks,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]"
 police officers and athletes are two types of,police officers,athletes,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", recliners and lamps are two types of,recliners,lamps,furniture,['furniture'],[13091]
 police officers and bankers are two types of,police officers,bankers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", measuring sticks and screws are two types of,measuring sticks,screws,tool,['tools'],[4899]
 police officers and businessmen are two types of,police officers,businessmen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", nanometers and kilometers are two types of,nanometers,kilometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 police officers and businesswomen are two types of,police officers,businesswomen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", jeanss and pantss are two types of,jeanss,pantss,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]"
 police officers and carpenters are two types of,police officers,carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", barges and catamarans are two types of,barges,catamarans,boat,"['boats', 'vessels', 'ships', 'boat']","[16659, 14891, 7937, 8848]"
 police officers and janitors are two types of,police officers,janitors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", marlin and snapper are two types of,marlin,snapper,fish,"['fish', 'fishes']","[5916, 49765]"
 police officers and physical therapists are two types of,police officers,physical therapists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", violins and flutes are two types of,violins,flutes,instrument,"['musical', 'instruments']","[10530, 12834]"
 police officers and scientists are two types of,police officers,scientists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", measuring sticks and screws are two types of,measuring sticks,screws,tool,['tools'],[4899]
 scientists and doctors are two types of,scientists,doctors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", chickens and ducks are two types of,chickens,ducks,bird,"['birds', 'bird']","[10087, 6512]"
 scientists and teachers are two types of,scientists,teachers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", pumps and boots are two types of,pumps,boots,footwear,['footwear'],[43463]
 scientists and lawyers are two types of,scientists,lawyers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", rifles and grenades are two types of,rifles,grenades,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 scientists and nurses are two types of,scientists,nurses,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", heels and sneakers are two types of,heels,sneakers,footwear,['footwear'],[43463]
 scientists and firefighters are two types of,scientists,firefighters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", centimeters and miles are two types of,centimeters,miles,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 scientists and professors are two types of,scientists,professors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", soul and opera are two types of,soul,opera,music,['music'],[2647]
 scientists and accountants are two types of,scientists,accountants,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", guitars and harmonicas are two types of,guitars,harmonicas,instrument,"['musical', 'instruments']","[10530, 12834]"
 scientists and psychologists are two types of,scientists,psychologists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", beetles and mosquitoes are two types of,beetles,mosquitoes,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 scientists and dentists are two types of,scientists,dentists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", bass and snapper are two types of,bass,snapper,fish,"['fish', 'fishes']","[5916, 49765]"
 scientists and engineers are two types of,scientists,engineers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", centimeters and meters are two types of,centimeters,meters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 scientists and secretaries are two types of,scientists,secretaries,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", volleyball and swimming are two types of,volleyball,swimming,sport,['sports'],[5701]
 scientists and managers are two types of,scientists,managers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", mosquitoes and spiders are two types of,mosquitoes,spiders,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 scientists and cooks are two types of,scientists,cooks,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]", pounds and quarters are two types of,pounds,quarters,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
