1. A precious stone
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
Bathroom(s)	0.16	0.02	4.2	5.8	4.6	0.17	0.13	0.15
Office(s)	0.15	0.01	3.6	6.5	4.4	0.15	0.15	0.13
Hall(way)	0.14	0.01	3.9	5.3	4.4	0.10	0.14	0.22
 Hallway(s)	0.08		4.1		4.6	0.06	0.09	0.11
 Hall(s)	0.05	0.01	3.5	4.0	4.1	0.04	0.05	0.10
Lobby	0.12	0.02	4.1	6.0	3.3	0.14	0.13	0.06
Brick(s)	0.11	0.01	3.7	4.9	4.9	0.10	0.08	0.15
Foundation	0.08	0.02	4.9	5.8	3.8	0.08	0.07	0.10
Entrance	0.06	0.01	5.1	5.5	4.2	0.05	0.09	0.05
Attic	0.05		2.9		5.1	0.05	0.05	0.04
Carpet(s)	0.05		3.7		6.8	0.06	0.02	0.05

33. A chemical element
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(679)		Overall	First		(369)	(146)	(164)
Oxygen	0.58	0.13	4.8	7.5	3.0	0.63	0.55	0.49
Hydrogen	0.56	0.19	5.2	6.8	2.6	0.56	0.60	0.53
Carbon	0.35	0.08	4.2	6.2	3.3	0.37	0.38	0.29
Helium	0.31	0.03	4.0	7.2	3.3	0.30	0.37	0.26
Nitrogen	0.28	0.05	4.2	6.5	3.7	0.30	0.27	0.24
Gold	0.24	0.03	2.9	5.3	4.1	0.24	0.27	0.22
Iron	0.20	0.05	3.8	5.7	3.5	0.21	0.23	0.18
Silver	0.19	0.01	2.7	4.0	4.8	0.20	0.19	0.18
Sodium/NA	0.15	0.04	5.6	7.9	3.4	0.13	0.17	0.16
 Sodium	0.14	0.04	5.6	8.0	3.4	0.12	0.16	0.16
 Na	0.01		5.2		2.0	0.01	0.01	0.00
Potassium	0.13	0.02	5.4	7.7	4.0	0.12	0.16	0.10
Sulfur	0.13	0.02	4.5	6.9	3.7	0.13	0.14	0.12
Zinc	0.12	0.03	4.1	7.0	3.8	0.11	0.12	0.13
Copper	0.11	0.01	3.4	5.6	4.0	0.10	0.10	0.13
Chlorine	0.10	0.02	5.5	8.4	4.2	0.10	0.12	0.09
Neon	0.10	0.01	3.4	5.6	4.5	0.11	0.12	0.08
Calcium	0.09		4.2		4.5	0.07	0.10	0.10
Aluminum	0.08	0.01	4.9	6.8	4.1	0.05	0.12	0.12
Boron	0.08	0.02	4.1	7.0	4.1	0.07	0.14	0.05
Lithium	0.08		4.3		4.0	0.07	0.12	0.05
Mercury	0.08	0.02	5.1	8.9	3.7	0.05	0.11	0.10
Magnesium	0.07		5.1		4.3	0.07	0.07	0.07
Water/H2O	0.07	0.03	6.0	8.5	1.9	0.08	0.04	0.06
 Water	0.04	0.02	5.7	8.7	2.0	0.04	0.02	0.05
 H2O	0.03	0.02	6.3	8.3	1.9	0.04	0.02	0.01
Argon	0.06	0.01	4.5	5.8	4.2	0.06	0.06	0.07
Fluorine	0.05		5.2		6.1	0.06	0.05	0.03
Lead	0.05		3.6		4.8	0.06	0.07	0.01
Nickel	0.05	0.01	3.8	4.2	4.6	0.04	0.08	0.05
Uranium	0.05	0.01	5.4	6.3	3.8	0.05	0.03	0.06

34. A musical instrument
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(658)		Overall	First		(337)	(150)	(171)
Drum(s)	0.75	0.04	3.0	4.0	4.6	0.75	0.79	0.74
Guitar	0.72	0.14	3.2	3.9	3.5	0.79	0.66	0.64
Flute	0.71	0.17	3.1	3.3	3.7	0.68	0.75	0.72
Piano	0.60	0.13	3.0	3.7	3.3	0.58	0.61	0.62
Trumpet	0.55	0.14	3.7	4.1	3.7	0.58	0.55	0.50
Clarinet	0.46	0.07	3.6	3.7	4.4	0.40	0.54	0.49
Sax(ophone)	0.46	0.06	4.4	4.8	4.6	0.47	0.47	0.44
 Saxophone	0.38	0.05	4.6	4.9	4.5	0.34	0.39	0.44
 Sax	0.09	0.01	3.3	4.0	5.2	0.13	0.08	0.00
Violin	0.44	0.09	3.7	4.0	4.1	0.47	0.43	0.39
Trombone	0.35	0.03	3.8	4.3	4.8	0.37	0.31	0.35
Tuba	0.33	0.03	3.0	3.3	5.1	0.31	0.37	0.33
Bass guitar	0.23		3.0		5.6	0.40	0.05	0.04
Cello	0.21	0.01	3.3	4.0	5.3	0.23	0.20	0.18
Oboe	0.17	0.02	2.8	3.0	5.4	0.17	0.17	0.17
Bass	0.12		2.7		5.6	0.00	0.23	0.26
Viola	0.12	0.01	2.9	4.1	5.4	0.13	0.13	0.11
Harp	0.10		3.0		5.4	0.08	0.11	0.13
Horn	0.09	0.03	3.4	3.8	3.9	0.07	0.09	0.12
Keyboard	0.09		4.8		6.4	0.08	0.10	0.09
French horn	0.08		4.4		6.7	0.07	0.07	0.11
Piccolo	0.07		3.9		6.8	0.07	0.09	0.06
Banjo	0.06		3.9		5.5	0.07	0.02	0.06
Harmonica	0.06		4.2		5.6	0.07	0.03	0.06
Cymbal(s)	0.05		4.9		6.1	0.04	0.08	0.04
Organ	0.05		2.9		5.8	0.04	0.07	0.06
Tambourine(s)	0.05		4.4		6.5	0.05	0.03	0.04

35. A kind of money
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(694)		Overall	First		(371)	(150)	(173)
Dollar/US	0.85	0.43	4.7	6.0	2.2	0.86	0.83	0.83
 Dollar(s)	0.73	0.39	4.6	5.9	2.1	0.75	0.72	0.69
 Dollar bill(s)	0.09	0.03	5.5	6.8	2.7	0.08	0.10	0.09
 American	0.01		6.8		3.8	0.00	0.01	0.02
 American dollar	0.01	0.01	4.3	5.9	3.7	0.02	0.00	0.00
 U.S. dollar	0.01		6.4		3.5	0.01	0.01	0.02
Penny/cent	0.47	0.08	3.5	5.5	3.5	0.43	0.48	0.52
 Penny(ies)	0.38	0.07	3.6	5.6	3.6	0.34	0.38	0.47
 Cent(s)	0.08	0.01	3.3	5.1	3.0	0.09	0.10	0.05
Dime(s)	0.39	0.04	2.3	5.1	3.8	0.35	0.38	0.50
Nickel(s)	0.39	0.03	3.0	5.6	3.7	0.35	0.38	0.49
Quarter(s)	0.38	0.04	4.1	7.6	3.8	0.36	0.35	0.46
Peso(s)	0.35	0.03	4.3	5.5	4.0	0.45	0.28	0.21
Yen	0.29	0.03	3.6	5.0	3.9	0.31	0.29	0.24
Coin(s)	0.26	0.10	4.0	5.2	2.4	0.21	0.32	0.30
Franc(s)	0.24	0.02	4.4	5.6	4.4	0.29	0.18	0.19
Euro	0.22	0.01	3.8	4.9	4.2	0.24	0.23	0.17
 Euro	0.20	0.01	3.6	4.9	4.1	0.22	0.22	0.15
 Euro dollar	0.02		6.0		5.4	0.02	0.01	0.02
Pound(s)	0.21	0.01	4.6	6.1	4.6	0.25	0.17	0.16
Check(s)	0.14	0.01	4.5	8.1	4.7	0.13	0.16	0.14
Lira	0.12		3.2		4.9	0.13	0.17	0.05
Credit (card)	0.11		4.8		5.0	0.12	0.11	0.08
 Credit card(s)	0.09		4.8		5.1	0.09	0.09	0.08
 Credit	0.02		4.9		4.5	0.02	0.01	0.01
Deutsch(mark)	0.11		5.2		4.8	0.13	0.09	0.06
 Deutschmark(s)	0.05		6.1		5.1	0.07	0.04	0.03
 Mark(s)	0.05		4.2		4.5	0.06	0.05	0.03
Ruble(s)	0.08	0.01	4.7	5.1	4.2	0.08	0.11	0.03
Bill(s)	0.07	0.01	4.2	5.6	3.8	0.07	0.07	0.09
Cash	0.07	0.03	4.6	6.1	2.8	0.06	0.08	0.06
Half dollar(s)	0.06		4.2		5.9	0.05	0.04	0.09
Paper	0.06	0.02	4.1	5.1	2.8	0.06	0.06	0.07

36. A type of music
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(673)		Overall	First		(341)	(149)	(183)
Rap	0.74	0.23	2.4	3.0	2.9	0.70	0.77	0.80
Rock (& roll)	0.74	0.25	3.0	3.4	2.9	0.75	0.74	0.72
 Rock	0.65	0.24	2.7	3.2	2.8	0.65	0.66	0.63
 Rock & roll	0.09	0.02	4.6	5.7	3.9	0.09	0.09	0.09
Classical	0.62	0.09	3.6	4.3	4.2	0.66	0.61	0.54
Country	0.61	0.05	3.4	4.4	4.5	0.57	0.56	0.74
Jazz	0.51	0.10	3.0	3.6	4.3	0.54	0.54	0.44
Hip hop	0.44	0.05	3.7	4.4	3.8	0.46	0.50	0.34
R & B	0.43	0.03	4.5	6.5	4.2	0.36	0.46	0.55
Pop	0.36	0.04	2.8	4.4	4.5	0.33	0.41	0.38
Alternative	0.34	0.01	4.0	5.7	4.9	0.33	0.41	0.30
Punk	0.19	0.02	2.7	3.5	4.6	0.22	0.19	0.14
Blues	0.18		3.0		5.6	0.17	0.22	0.17
Reggae	0.18	0.02	3.7	5.0	4.2	0.19	0.19	0.15
Oldies	0.14		3.6		6.2	0.14	0.12	0.13
Heavy metal	0.12		4.3		5.9	0.12	0.11	0.11
Techno	0.12		3.7		6.0	0.13	0.15	0.09
Bluegrass	0.10		4.1		6.0	0.09	0.08	0.13
Soul	0.09		2.8		5.5	0.11	0.05	0.08
Gospel	0.08	0.01	3.5	3.9	5.8	0.03	0.09	0.16
Opera	0.08	0.01	3.4	4.0	5.8	0.07	0.09	0.09
Classic rock	0.07		3.9		5.0	0.09	0.05	0.03
Folk	0.07		3.4		6.4	0.06	0.08	0.08
Dance	0.05		3.1		5.9	0.03	0.09	0.05
Metal	0.05		3.6		5.0	0.07	0.03	0.05
New age	0.05		4.2		6.5	0.06	0.04	0.04
Ska	0.05	0.01	2.2	3.0	4.8	0.06	0.07	0.04

37. A bird
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(690)		Overall	First		(371)	(148)	(171)
Eagle	0.47	0.10	3.4	4.2	3.5	0.50	0.47	0.43
Robin(s)	0.43	0.10	3.9	4.7	3.1	0.42	0.46	0.42
Bluejay	0.40	0.07	4.4	6.0	3.0	0.35	0.43	0.47
Cardinal	0.38	0.11	4.3	5.2	2.9	0.24	0.42	0.64
Hawk	0.30	0.03	3.4	4.7	4.5	0.36	0.24	0.23
Bluebird	0.29	0.08	4.3	4.8	2.7	0.26	0.28	0.35
Crow(s)	0.24	0.02	3.5	5.5	4.2	0.25	0.21	0.25
Hummingbird	0.23	0.04	5.3	5.5	3.6	0.24	0.22	0.22
Parrot	0.22	0.04	4.4	5.5	3.5	0.21	0.22	0.25
Sparrow(s)	0.21	0.03	4.2	5.1	3.5	0.24	0.18	0.16
Pigeon(s)	0.20	0.04	4.7	5.3	3.9	0.18	0.28	0.17
Seagull(s)	0.13	0.01	4.4	4.4	4.2	0.14	0.13	0.10
Dove	0.12	0.01	3.1	4.1	4.3	0.12	0.08	0.15
Parakeet	0.12	0.02	5.0	5.4	3.5	0.12	0.15	0.08
Falcon(s)	0.11	0.01	3.3	5.0	4.1	0.13	0.09	0.09
Canary	0.10	0.04	4.5	4.3	2.9	0.07	0.13	0.12
Owl(s)	0.10	0.01	3.1	4.8	4.8	0.11	0.09	0.07
Ostrich	0.09	0.01	4.8	6.7	4.4	0.06	0.11	0.14
Penguin	0.09	0.01	4.6	6.0	4.1	0.08	0.12	0.08
Raven	0.09		3.0		4.5	0.10	0.10	0.07
Duck	0.08	0.01	3.5	3.4	4.8	0.10	0.07	0.06
Finch	0.08	0.01	3.9	4.0	4.3	0.06	0.09	0.08
Mockingbird	0.08	0.01	4.7	4.8	3.8	0.08	0.08	0.08
Woodpecker(s)	0.08	0.01	5.8	7.0	4.4	0.08	0.08	0.07
Flamingo	0.07	0.01	4.7	6.4	4.4	0.06	0.07	0.09
Oriole	0.07	0.01	4.0	4.3	3.8	0.03	0.23	0.04
Blackbird	0.06	0.01	4.7	6.4	4.1	0.06	0.05	0.08
Chicken	0.06		4.0		5.2	0.05	0.06	0.07
Vulture	0.05		3.9		5.5	0.04	0.05	0.06

38. A non-alcoholic beverage
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(658)		Overall	First		(336)	(149)	(173)
Water	0.80	0.11	2.7	3.7	3.3	0.82	0.85	0.72
Coke/Coca Cola	0.48	0.25	3.5	3.9	2.1	0.51	0.36	0.52
 Coke	0.31	0.17	3.4	3.9	2.1	0.48	0.32	0.00
 Coca Cola	0.16	0.08	3.6	4.1	2.1	0.04	0.04	0.52
Milk	0.46	0.05	3.3	3.8	3.9	0.47	0.47	0.45
Juice	0.43	0.07	3.6	5.2	3.3	0.43	0.52	0.34
Soda(s)	0.42	0.18	3.8	4.3	2.6	0.36	0.61	0.39
Orange juice	0.33	0.04	4.9	6.7	3.9	0.34	0.36	0.30
Sprite	0.31	0.03	3.2	4.5	3.3	0.32	0.25	0.35
Pepsi	0.29	0.05	3.3	5.2	3.1	0.27	0.25	0.34
Tea	0.29	0.02	2.8	3.5	4.8	0.23	0.28	0.43
Coffee	0.24	0.01	3.2	4.2	5.4	0.21	0.30	0.27
Lemonade	0.23	0.02	4.4	5.1	4.3	0.25	0.21	0.19
Apple juice	0.20	0.02	4.5	6.6	4.4	0.16	0.30	0.19
Dr. Pepper	0.13	0.01	4.2	8.1	4.8	0.13	0.04	0.19
Gatorade	0.11		4.5		5.5	0.13	0.09	0.08
Kool-Aid	0.11	0.01	5.1	5.6	4.0	0.08	0.08	0.18
Mountain Dew	0.09		4.5		4.9	0.06	0.09	0.17
Grape juice	0.07		4.2		5.6	0.06	0.10	0.05
Ice(d) tea	0.10		3.5		5.0	0.12	0.17	0.01
Pop	0.07	0.03	3.8	4.5	3.2	0.13	0.03	0.01
(Fruit) punch	0.06		5.5		4.9	0.05	0.07	0.08
 Fruit punch	0.03		5.9		4.8	0.02	0.05	0.04
 Punch	0.03		5.0		5.1	0.03	0.01	0.03
Cranberry juice	0.05		5.7		5.2	0.07	0.04	0.01
O'Doul's	0.05	0.02	5.5	5.1	2.9	0.07	0.02	0.02
Root beer	0.05		4.2		5.1	0.07	0.04	0.04

39. A transportation vehicle
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(696)		Overall	First		(364)	(149)	(183)
Car(s)	0.89	0.69	3.1	3.3	1.4	0.87	0.85	0.95
Bus	0.58	0.11	2.3	3.7	2.8	0.60	0.34	0.75
Truck(s)	0.56	0.05	3.0	4.6	3.1	0.50	0.73	0.54
(Air)plane	0.54		3.5		4.4	0.55	0.30	0.70
 Airplane	0.32		3.7		4.4	0.22	0.11	0.70
 Plane	0.21		3.2		4.3	0.33	0.19	0.00
Train(s)	0.44		3.1		4.5	0.45	0.17	0.63
Bike/bicycle	0.42	0.01	3.9	3.6	4.9	0.45	0.30	0.48
 Bike	0.25	0.01	3.4	3.6	4.7	0.39	0.20	0.00
 Bicycle(s)	0.18		4.7		5.2	0.06	0.09	0.48
Van	0.32	0.02	2.6	3.6	3.6	0.27	0.36	0.37
Boat/ship	0.30		3.3		5.4	0.30	0.19	0.39
 Boat(s)	0.26		3.4		5.2	0.26	0.17	0.32
 Ship	0.04		2.4		6.6	0.04	0.01	0.07
Motorcycle(s)	0.30		5.6		4.7	0.30	0.36	0.25
SUV	0.20	0.02	3.4	5.1	4.0	0.18	0.26	0.20
Skateboard(s)	0.10		5.1		6.2	0.15	0.02	0.08
Subway	0.10		4.3		5.8	0.10	0.02	0.18
Taxi/cab	0.10		3.8		5.0	0.10	0.04	0.16
 Taxi	0.08		4.2		5.0	0.09	0.01	0.11
 Cab	0.03		2.7		5.1	0.02	0.03	0.05
Scooter	0.09		4.3		6.2	0.11	0.07	0.08
Helicopter	0.08		4.8		5.6	0.07	0.08	0.11
Jeep	0.07	0.01	3.4	4.8	4.1	0.08	0.08	0.04
Moped	0.07		3.7		5.3	0.08	0.05	0.05
Ford	0.05		2.8		5.2	0.06	0.05	0.01
Minivan	0.05		4.5		4.5	0.05	0.10	0.01
Sports car	0.05		4.7		4.2	0.04	0.11	0.02

40. A science
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(691)		Overall	First		(370)	(150)	(171)
Biology	0.90	0.43	4.5	5.0	1.9	0.89	0.91	0.91
Chemistry	0.80	0.17	4.4	5.5	2.6	0.78	0.81	0.82
Physics	0.58	0.06	4.4	5.3	3.3	0.63	0.67	0.42
Psychology	0.53	0.13	5.6	6.2	2.8	0.58	0.57	0.36
Astronomy	0.21	0.01	4.9	6.7	3.8	0.24	0.24	0.11
Geology	0.17	0.02	4.1	4.7	3.6	0.19	0.17	0.13
Earth	0.14	0.02	5.0	5.4	3.6	0.08	0.09	0.32
Anatomy	0.12	0.01	4.6	4.5	4.2	0.08	0.09	0.22
Sociology	0.11		5.1		4.0	0.14	0.06	0.09
Kinesiology	0.09	0.01	5.9	8.1	3.9	0.15	0.02	0.00
Physiology	0.08		5.5		4.3	0.06	0.09	0.10
Anthropology	0.06	0.01	6.4	9.1	4.1	0.05	0.05	0.07
Biochemistry	0.06		5.4		4.5	0.08	0.07	0.02
Physical	0.06	0.01	6.2	6.4	3.5	0.03	0.06	0.14

41. A toy
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(645)		Overall	First		(326)	(149)	(170)
Doll(s)	0.48	0.10	3.8	5.1	2.9	0.45	0.51	0.50
Car(s)	0.36	0.15	3.8	4.4	2.4	0.38	0.36	0.32
Barbie doll(s)	0.31	0.05	4.1	5.7	3.0	0.29	0.26	0.38
Ball	0.27	0.11	3.6	4.1	2.7	0.26	0.25	0.31
Truck(s)	0.23	0.09	3.9	4.3	2.4	0.26	0.17	0.21
Lego(s)	0.20	0.02	4.1	5.9	3.7	0.21	0.20	0.16
Stuffed animal(s)	0.20	0.03	6.8	8.2	3.4	0.22	0.21	0.15
Action figure(s)	0.18	0.03	5.9	7.9	3.1	0.15	0.22	0.19
G I Joe	0.18	0.03	5.1	6.7	3.3	0.18	0.14	0.22
Block(s)	0.12	0.02	4.9	5.5	3.5	0.11	0.12	0.14
Train (set)	0.12	0.03	3.8	4.5	3.1	0.11	0.11	0.14
 Train(s)	0.10	0.03	3.5	3.7	3.2	0.09	0.10	0.12
 Train set	0.02		5.5		2.7	0.02	0.01	0.02
Video game(s)	0.11	0.01	5.9	8.2	3.5	0.11	0.13	0.08
Board game(s)	0.09	0.01	5.7	10.3	4.3	0.10	0.13	0.05
Bike(s)	0.08	0.02	4.0	3.4	3.8	0.07	0.05	0.11
Boat	0.06	0.03	3.8	4.7	2.1	0.08	0.04	0.04
Puzzle(s)	0.06	0.01	4.6	6.4	3.7	0.06	0.08	0.04
Teddy bear(s)	0.06	0.02	5.6	7.5	2.8	0.06	0.07	0.05
Computer	0.05		5.7		4.5	0.04	0.08	0.05
Jump rope	0.05		5.3		4.1	0.06	0.03	0.05
Nintendo	0.05		5.2		3.7	0.05	0.06	0.04
Yo-yo	0.05	0.01	4.6	5.1	3.5	0.06	0.06	0.05

42. A type of dance
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(691)		Overall	First		(372)	(149)	(170)
Ballet	0.40	0.11	3.7	4.4	2.9	0.37	0.42	0.44
Tango	0.38	0.13	4.2	4.6	2.7	0.45	0.29	0.29
Salsa	0.36	0.17	3.9	4.3	2.5	0.41	0.39	0.25
Hip hop	0.33	0.06	4.5	5.6	3.5	0.40	0.28	0.24
Jazz	0.30	0.04	2.9	3.9	3.4	0.30	0.29	0.32
Waltz	0.28	0.04	5.0	6.6	3.4	0.33	0.19	0.25
Tap	0.27	0.02	3.1	5.7	4.2	0.26	0.26	0.32
Swing	0.24	0.04	3.9	3.9	3.6	0.26	0.23	0.21
Ballroom	0.19	0.02	4.9	6.6	4.0	0.19	0.29	0.11
Modern	0.16	0.03	3.8	3.8	3.6	0.13	0.19	0.21
Break	0.14	0.01	5.9	6.6	3.6	0.16	0.11	0.10
Line	0.12	0.01	4.7	6.0	3.9	0.15	0.09	0.09
Square	0.12	0.02	6.4	6.4	3.5	0.10	0.14	0.12
Slow	0.11	0.01	5.1	7.6	3.7	0.10	0.13	0.12
Cha cha	0.08	0.01	5.1	6.2	3.7	0.08	0.08	0.10
Merengue	0.08	0.01	5.3	7.5	3.6	0.09	0.11	0.05
Macarena	0.07	0.01	5.6	5.3	3.4	0.06	0.11	0.04
Electric slide	0.06		6.2		3.5	0.02	0.11	0.10
Foxtrot	0.06		4.9		4.5	0.07	0.03	0.05
Mambo	0.06	0.02	4.6	4.8	2.4	0.07	0.05	0.03
Two step	0.06		5.5		3.8	0.08	0.01	0.05
African	0.05	0.01	4.9	3.9	4.6	0.04	0.03	0.08

43. A vegetable
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(667)		Overall	First		(357)	(150)	(160)
Carrot(s)	0.77	0.38	3.7	3.9	2.2	0.82	0.75	0.67
Lettuce	0.49	0.06	4.2	6.1	3.5	0.54	0.47	0.38
Broccoli	0.42	0.10	5.4	6.3	3.1	0.45	0.47	0.29
Tomato	0.36	0.11	4.4	5.5	2.9	0.33	0.33	0.44
Cucumber(s)	0.31	0.04	5.3	6.2	3.7	0.32	0.39	0.24
Peas	0.31	0.03	3.1	4.6	3.6	0.32	0.29	0.29
Corn	0.30	0.06	3.5	4.3	3.5	0.25	0.29	0.39
Potato	0.28	0.04	4.5	5.8	3.4	0.22	0.28	0.41
Celery	0.27	0.04	4.4	6.5	3.3	0.32	0.20	0.23
Onion(s)	0.24	0.01	3.9	4.6	4.3	0.24	0.23	0.26
Green bean(s)	0.20	0.03	5.1	6.3	3.6	0.16	0.22	0.26
Spinach	0.14	0.01	5.0	9.4	4.3	0.12	0.15	0.17
Squash	0.14	0.01	5.5	6.1	4.3	0.12	0.18	0.14
Bean(s)	0.12	0.01	3.9	5.2	4.3	0.14	0.09	0.12
Cauliflower	0.12		5.5		4.7	0.15	0.13	0.07
Cabbage	0.10	0.01	4.2	7.2	4.4	0.08	0.12	0.14
Radish	0.10		4.6		5.0	0.12	0.09	0.08
Asparagus	0.09		4.9		4.0	0.12	0.08	0.06
Pepper(s)	0.07		4.5		4.7	0.04	0.13	0.08
Tomatoes	0.07	0.01	4.0	4.9	3.4	0.12	0.00	0.02
Beet(s)	0.06		3.9		4.8	0.05	0.07	0.07
Green pepper(s)	0.05		5.8		4.0	0.06	0.05	0.04
Potatoes	0.05	0.01	4.5	5.3	4.2	0.07	0.00	0.06
Turnip(s)	0.05		4.4		4.7	0.05	0.03	0.07
Zucchini	0.05		5.9		4.2	0.06	0.05	0.03

44. A type of footwear
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(668)		Overall	First		(349)	(150)	(169)
Sandal(s)	0.77	0.19	3.9	5.1	2.7	0.79	0.73	0.75
Boot(s)	0.58	0.06	3.3	4.6	3.4	0.56	0.64	0.59
(High) heels	0.40	0.03	4.6	5.7	3.8	0.37	0.46	0.40
 High heel(s)	0.30	0.02	4.8	6.2	3.8	0.30	0.38	0.24
 Heels	0.09	0.01	4.1	4.3	3.7	0.07	0.08	0.15
Shoe(s)	0.38	0.29	3.8	4.0	1.4	0.38	0.41	0.36
Tennis	0.35	0.11	5.0	6.0	2.7	0.36	0.27	0.42
Flip flop(s)	0.32	0.01	5.2	7.5	4.2	0.27	0.35	0.39
Sneaker(s)	0.32	0.13	4.2	4.8	2.4	0.21	0.57	0.34
Slipper(s)	0.22		4.3		4.5	0.21	0.31	0.17
Sock(s)	0.20	0.01	3.5	4.6	3.9	0.18	0.23	0.21
Dress	0.15		5.4		4.3	0.15	0.21	0.11
Nike(s)	0.15	0.06	3.9	4.3	2.6	0.15	0.09	0.19
Running shoes	0.15	0.02	5.4	6.8	3.5	0.19	0.11	0.08
Adidas	0.11	0.01	4.2	5.5	3.5	0.12	0.07	0.14
Clog(s)	0.11		3.9		4.5	0.12	0.09	0.11
Cleat(s)	0.10	0.01	4.1	6.3	4.7	0.11	0.10	0.07
Loafer(s)	0.09		4.8		4.4	0.09	0.09	0.07
Pump(s)	0.08		3.9		4.5	0.08	0.08	0.07
Reebok(s)	0.08		3.6		3.6	0.10	0.04	0.09
Hiking boots/shoes	0.07		5.1		5.0	0.10	0.05	0.03
 Hiking boot(s)	0.06		5.0		5.0	0.09	0.03	0.03
 Hiking shoes	0.01		5.9		5.0	0.01	0.01	0.00
Moccasin(s)	0.06		6.2		4.8	0.05	0.09	0.04
Platform(s)	0.05		4.2		4.3	0.06	0.05	0.03

45. An insect
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(667)		Overall	First		(340)	(149)	(178)
Fly	0.61	0.19	3.5	4.2	2.6	0.57	0.64	0.67
Ant	0.57	0.18	3.3	3.9	2.7	0.57	0.64	0.53
Spider(s)	0.43	0.11	4.1	4.6	2.9	0.44	0.38	0.45
Bee(s)	0.41	0.11	3.2	3.6	3.1	0.44	0.47	0.30
Mosquito	0.33	0.07	5.6	6.1	3.1	0.34	0.32	0.31
Beetle(s)	0.31	0.05	4.7	5.2	3.4	0.35	0.29	0.26
Lady bug(s)	0.27	0.06	5.1	5.4	3.1	0.29	0.23	0.27
Grasshopper(s)	0.20	0.04	5.7	6.0	3.4	0.21	0.12	0.25
Butterfly	0.19	0.02	5.1	5.6	4.3	0.20	0.21	0.17
Wasp(s)	0.17		3.1		4.9	0.19	0.18	0.12
Roach	0.16	0.01	3.8	5.2	3.6	0.11	0.16	0.26
Moth(s)	0.15		3.5		4.6	0.17	0.16	0.10
Gnat(s)	0.14		4.7		4.3	0.11	0.10	0.24
Cockroach	0.12	0.01	6.6	7.6	3.7	0.14	0.18	0.06
Caterpillar	0.11	0.01	6.6	6.7	4.1	0.11	0.10	0.12
Bug(s)	0.10	0.07	4.0	3.6	1.9	0.10	0.10	0.11
Centipede	0.09		6.4		4.0	0.10	0.07	0.08
Cricket(s)	0.09	0.01	4.5	4.0	3.8	0.07	0.11	0.12
Worm(s)	0.09		4.8		4.8	0.07	0.12	0.09
Praying mantis	0.08	0.01	7.0	8.0	3.8	0.11	0.05	0.06
Dragonfly	0.06		5.3		4.3	0.05	0.13	0.03
Flea	0.05		4.0		4.4	0.06	0.05	0.04
Hornet(s)	0.05		3.3		5.0	0.07	0.05	0.02

46. A female first namea
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(684)		Overall	First		(367)	(149)	(168)
Sara(h)	0.32	0.06	2.7	3.6	4.5	0.37	0.25	0.29
 Sarah	0.21	0.04	2.7	3.3	4.1	0.24	0.16	0.20
 Sara	0.11	0.01	2.7	4.4	5.1	0.13	0.09	0.10
Mary	0.18	0.04	2.5	3.9	4.7	0.16	0.23	0.18
Jessica	0.17	0.02	3.0	3.8	5.4	0.16	0.20	0.18
Ann(e)/(ie)	0.15	0.03	2.4	3.6	4.9	0.16	0.15	0.14
 Ann	0.07	0.01	2.4	3.8	4.9	0.07	0.05	0.10
 Anne	0.06	0.02	2.4	3.5	4.7	0.08	0.05	0.04
 Annie	0.02		2.1		5.5	0.02	0.04	0.01
Jennifer	0.15	0.03	3.4	4.4	5.0	0.14	0.10	0.21
Katie/Katy	0.15	0.02	2.5	3.8	5.7	0.17	0.12	0.13
 Katie	0.14	0.01	2.5	4.0	5.8	0.15	0.12	0.11
 Katy	0.01		2.4		4.8	0.02	0.00	0.02
Lauren	0.15	0.02	2.9	4.0	5.5	0.16	0.19	0.09
Amy	0.12	0.01	2.1	3.4	5.4	0.13	0.06	0.14
Ashley	0.11	0.01	3.2	4.6	5.3	0.08	0.09	0.18
Beth	0.11	0.01	2.2	3.1	5.4	0.12	0.07	0.10
Jane	0.11	0.03	2.4	3.1	4.3	0.10	0.12	0.11
Kelly	0.11		2.5		5.9	0.12	0.12	0.09
Kristen/Kristin	0.11	0.01	3.1	5.1	5.6	0.12	0.11	0.07
 Kristen	0.05		3.2		6.0	0.07	0.05	0.04
 Kristin	0.05	0.01	3.0	4.6	5.3	0.06	0.06	0.04
Laura	0.11	0.01	2.8	4.1	6.2	0.14	0.13	0.04
